723520,ALTUS AFB,OK,-6,34.65,-99.267,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1997,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,12,A,7,11,A,7,94,A,7,970,A,7,220,A,7,0.5,A,7,100,B,7,15,A,7,1.6,E,8,0.057,F,8,0.19,F,8,0,1,D,9,45,C,8,285
1/1/1997,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,12,A,7,12,A,7,100,A,7,970,A,7,180,A,7,1.5,A,7,100,B,7,15,A,7,1.6,E,8,0.057,F,8,0.19,F,8,0,1,D,9,45,C,8,284.238033
1/1/1997,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,12,A,7,12,A,7,100,A,7,970,A,7,150,A,7,1,A,7,100,B,7,15,A,7,1.6,E,8,0.057,F,8,0.19,F,8,0,1,D,9,45,C,8,283.8600917
1/1/1997,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,13,A,7,12,A,7,94,A,7,970,A,7,160,A,7,1,A,7,100,B,7,15,A,7,1.6,E,8,0.057,F,8,0.19,F,8,0,1,D,9,45,C,8,284.0107511
1/1/1997,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,13,A,7,12,A,7,94,A,7,969,A,7,170,A,7,1,A,7,100,B,7,15,A,7,1.6,E,8,0.057,F,8,0.19,F,8,0,1,D,9,45,C,8,284.2744848
1/1/1997,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,13,A,7,12,A,7,94,A,7,969,A,7,130,A,7,1.5,A,7,100,B,7,15,A,7,1.6,E,8,0.057,F,8,0.19,F,8,0,1,D,9,45,C,8,284.3943431
1/1/1997,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,13,A,7,12,A,7,94,A,7,969,A,7,190,A,7,1,A,7,100,B,7,15,A,7,1.6,E,8,0.057,F,8,0.19,F,8,0,1,D,9,45,C,8,284.4494236
1/1/1997,8:00,7,342,0,1,11,0,1,17,0,1,11,0,1,11,0,1,17,0,1,11,0,1,23,10,A,7,10,E,9,12,A,7,11,A,7,94,A,7,969,A,7,150,A,7,2.1,A,7,200,B,7,120,A,7,1.6,E,8,0.057,F,8,0.19,F,8,0,1,D,9,44,C,8,284.1533847
1/1/1997,9:00,180,1415,18,1,11,0,1,17,18,1,11,21,1,11,0,1,17,21,1,11,71,1,23,10,A,7,10,E,9,13,A,7,12,A,7,94,A,7,969,A,7,160,A,7,3.1,A,7,200,B,7,120,A,7,1.6,E,8,0.057,F,8,0.19,F,8,0,1,D,9,44,C,8,284.0819249
1/1/1997,10:00,407,1415,52,1,11,0,1,17,52,1,11,62,1,11,0,1,17,62,1,11,218,1,23,10,A,7,10,E,9,14,A,7,13,A,7,94,A,7,969,A,7,180,A,7,3.1,A,7,2400,B,7,120,A,7,1.6,E,8,0.057,F,8,0.19,F,8,0,1,D,9,10,C,8,284.4352656
