722523,SAN ANTONIO/STINSON,TX,-6,29.333,-98.467,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1999,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,13,A,7,12,A,7,94,A,7,994,A,7,60,A,7,2.6,A,7,4800,B,7,150,A,7,2.3,E,8,0.062,F,8,0.18,F,8,0,1,D,9,10,C,8,286
1/1/1999,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,12,A,7,12,A,7,100,A,7,993,A,7,60,A,7,2.6,A,7,4800,B,7,90,A,7,2.3,E,8,0.062,F,8,0.18,F,8,0,1,D,9,10,C,8,284.8785543
1/1/1999,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,12,A,7,12,A,7,100,A,7,992,A,7,40,A,7,2.1,A,7,2400,B,7,30,A,7,2.3,E,8,0.062,F,8,0.18,F,8,0,1,D,9,45,C,8,284.1892941
1/1/1999,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,12,A,7,12,A,7,100,A,7,992,A,7,40,A,7,1.5,A,7,800,B,7,15,A,7,2.3,E,8,0.062,F,8,0.18,F,8,0,1,D,9,45,C,8,283.8361013
1/1/1999,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,13,A,7,13,A,7,100,A,7,991,A,7,0,A,7,0,A,7,400,B,7,15,A,7,2.3,E,8,0.062,F,8,0.18,F,8,0,1,D,9,45,C,8,283.9998105
1/1/1999,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,13,A,7,13,A,7,100,A,7,990,A,7,90,A,7,1.5,A,7,400,B,7,15,A,7,2.3,E,8,0.062,F,8,0.18,F,8,0,1,D,9,45,C,8,284.2695512
1/1/1999,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,13,A,7,13,A,7,100,A,7,990,A,7,0,A,7,0,A,7,400,B,7,15,A,7,2.2,E,8,0.062,F,8,0.18,F,8,0,1,D,9,45,C,8,284.3920844
1/1/1999,8:00,33,719,0,2,8,12,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,10,E,9,10,A,7,13,A,7,13,A,7,100,A,7,991,A,7,0,A,7,0,A,7,400,B,7,15,A,7,2.2,E,8,0.062,F,8,0.18,F,8,0,1,D,9,45,C,8,284.4752573
1/1/1999,9:00,266,1415,94,2,8,78,2,15,79,2,8,101,2,8,59,2,15,90,2,8,169,2,19,10,E,9,10,A,7,14,A,7,14,A,7,100,A,7,991,A,7,0,A,7,0,A,7,400,B,7,15,A,7,2.2,E,8,0.062,F,8,0.18,F,8,0,1,D,9,45,C,8,284.6852608
1/1/1999,10:00,505,1415,78,2,8,0,2,15,78,2,8,92,2,8,0,2,15,92,2,8,331,2,19,10,E,9,10,A,7,15,A,7,15,A,7,100,A,7,991,A,7,0,A,7,0,A,7,400,B,7,15,A,7,2.1,E,8,0.062,F,8,0.18,F,8,0,1,D,9,10,C,8,285.1010557
1/1/1999,11:00,692,1415,234,2,8,37,2,15,216,2,8,257,2,8,37,2,15,239,2,8,636,2,19,10,E,9,10,A,7,16,A,7,16,A,7,100,A,7,990,A,7,150,A,7,2.1,A,7,1200,B,7,15,A,7,2.1,E,8,0.062,F,8,0.18,F,8,0,1,D,9,10,C,8,285.4534117
1/1/1999,12:00,813,1415,93,2,8,0,2,15,93,2,8,114,2,8,0,2,15,114,2,8,458,2,19,10,E,9,10,E,9,19,A,7,17,A,7,88,A,7,989,A,7,180,A,7,4.6,A,7,6400,B,7,240,A,7,2.1,E,8,0.062,F,8,0.18,F,8,0,1,D,9,10,C,8,287.071427
1/1/1999,13:00,861,1415,175,2,8,0,2,15,175,2,8,206,2,8,0,2,15,206,2,8,801,2,19,10,E,9,10,E,9,21,A,7,17,A,7,78,A,7,987,A,7,190,A,7,5.7,A,7,9700,B,7,510,A,7,2,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,288.9821726
1/1/1999,14:00,832,1415,100,2,8,0,2,15,100,2,8,123,2,8,0,2,15,123,2,8,493,2,19,10,E,9,10,E,9,22,A,7,17,A,7,73,A,7,985,A,7,180,A,7,5.1,A,7,11300,B,7,720,A,7,2,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,290.6441969
1/1/1999,15:00,728,1415,108,2,8,0,2,15,108,2,8,129,2,8,0,2,15,129,2,8,501,2,19,10,E,9,10,E,9,23,A,7,17,A,7,69,A,7,984,A,7,190,A,7,4.1,A,7,12900,B,7,810,A,7,2,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,292.00686
1/1/1999,16:00,557,1415,268,2,8,256,2,15,167,2,8,284,2,8,252,2,15,184,2,8,356,2,19,10,E,9,10,E,9,23,A,7,18,A,7,73,A,7,983,A,7,200,A,7,2.6,A,7,16100,B,7,750,A,7,1.9,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,294.2595339
1/1/1999,17:00,329,1415,33,2,8,0,2,15,33,2,8,40,2,8,0,2,15,40,2,8,138,2,19,10,E,9,10,E,9,23,A,7,18,A,7,73,A,7,983,A,7,230,A,7,1.5,A,7,16100,B,7,990,A,7,1.9,E,8,0.062,F,8,0.18,F,8,0,1,D,9,61,C,8,294.9337069
1/1/1999,18:00,75,1073,4,2,8,0,2,15,4,2,8,5,2,8,0,2,15,5,2,8,16,2,19,10,E,9,10,E,9,21,A,7,18,A,7,83,A,7,983,A,7,130,A,7,6.7,A,7,6400,B,7,990,A,7,1.9,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,292.6698839
1/1/1999,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,19,A,7,17,A,7,88,A,7,983,A,7,280,A,7,3.6,A,7,12900,B,7,77777,A,7,1.8,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,291.7061541
1/1/1999,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,18,A,7,16,A,7,88,A,7,984,A,7,0,A,7,0,A,7,11300,B,7,77777,A,7,1.8,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,290.5801815
1/1/1999,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,1,E,9,15,A,7,15,A,7,100,A,7,984,A,7,0,A,7,0,A,7,3200,B,7,77777,A,7,1.8,E,8,0.062,F,8,0.18,F,8,0,1,D,9,10,C,8,288.9867084
1/1/1999,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,7,E,9,18,A,7,15,A,7,83,A,7,986,A,7,330,B,8,1.5,A,7,11300,B,7,77777,A,7,1.7,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,288.6610937
1/1/1999,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,18,A,7,14,A,7,77,A,7,986,A,7,290,A,7,4.6,A,7,14500,B,7,77777,A,7,1.7,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,289.0762891
1/1/1999,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,6,E,9,18,A,7,12,A,7,68,A,7,986,A,7,270,A,7,3.6,A,7,16100,B,7,77777,A,7,1.7,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,289.2599968
1/2/1999,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,4,E,9,15,A,7,13,A,7,88,A,7,986,A,7,250,A,7,2.6,A,7,12900,B,7,77777,A,7,1.6,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,288.2781653
1/2/1999,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,16,A,7,7,A,7,55,A,7,986,A,7,280,A,7,5.1,A,7,16100,B,7,77777,A,7,1.6,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,287.6244947
1/2/1999,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,1,E,9,15,A,7,4,A,7,48,A,7,987,A,7,300,A,7,5.7,A,7,16100,B,7,77777,A,7,1.6,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,288.0250686
1/2/1999,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,13,A,7,5,A,7,58,A,7,989,A,7,320,A,7,5.7,A,7,16100,B,7,77777,A,7,1.6,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,285.5229902
1/2/1999,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,11,A,7,4,A,7,62,A,7,990,A,7,330,A,7,10.3,A,7,16100,B,7,77777,A,7,1.5,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,285.0009835
1/2/1999,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,9,A,7,2,A,7,61,A,7,992,A,7,330,A,7,3.6,A,7,16100,B,7,77777,A,7,1.5,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,281.7828725
1/2/1999,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,8,A,7,1,A,7,61,A,7,994,A,7,340,A,7,8.2,A,7,16100,B,7,77777,A,7,1.5,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,280.9197221
1/2/1999,8:00,33,719,0,2,8,87,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,0,E,9,0,E,9,6,A,7,-2,A,7,55,A,7,996,A,7,340,A,7,8.2,A,7,16100,B,7,77777,A,7,1.5,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,277.9734739
1/2/1999,9:00,265,1415,170,2,8,581,2,15,60,2,8,171,2,8,426,2,15,90,2,8,103,2,19,0,E,9,0,E,9,7,A,7,-2,A,7,52,A,7,997,A,7,350,A,7,7.2,A,7,16100,B,7,77777,A,7,1.4,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,279.2541868
1/2/1999,10:00,504,1415,332,2,8,748,2,15,64,2,8,344,2,8,694,2,15,95,2,8,128,2,19,0,E,9,0,E,9,8,A,7,-2,A,7,48,A,7,999,A,7,340,A,7,6.2,A,7,16100,B,7,77777,A,7,1.4,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,281.2071325
1/2/1999,11:00,692,1415,481,2,8,777,2,15,100,2,8,510,2,8,768,2,15,132,2,8,215,2,19,0,E,9,0,E,9,9,A,7,-2,A,7,45,A,7,999,A,7,350,A,7,6.7,A,7,16100,B,7,77777,A,7,1.4,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,285.619957
1/2/1999,12:00,814,1415,605,2,8,883,2,15,94,2,8,639,2,8,880,2,15,130,2,8,218,2,19,0,E,9,0,E,9,9,A,7,-3,A,7,41,A,7,999,A,7,330,A,7,6.7,A,7,16100,B,7,77777,A,7,1.4,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,287.1021451
1/2/1999,13:00,863,1415,629,2,8,901,2,15,77,2,8,656,2,8,892,2,15,110,2,8,187,2,19,0,E,9,0,E,9,11,A,7,-6,A,7,28,A,7,998,A,7,340,A,7,5.7,A,7,16100,B,7,77777,A,7,1.4,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,289.6552565
1/2/1999,14:00,835,1415,593,2,8,806,2,15,116,2,8,615,2,8,798,2,15,142,2,8,254,2,19,0,E,9,0,E,9,12,A,7,-6,A,7,26,A,7,998,A,7,340,A,7,4.6,A,7,16100,B,7,77777,A,7,1.4,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,291.1927448
1/2/1999,15:00,731,1415,522,2,8,859,2,15,76,2,8,544,2,8,839,2,15,109,2,8,161,2,19,0,E,9,0,E,9,13,A,7,-6,A,7,25,A,7,997,A,7,360,A,7,6.7,A,7,16100,B,7,77777,A,7,1.4,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,292.7375606
1/2/1999,16:00,560,1415,375,2,8,787,2,15,63,2,8,395,2,8,749,2,15,97,2,8,133,2,19,0,E,9,0,E,9,12,A,7,-6,A,7,26,A,7,998,A,7,360,A,7,4.6,A,7,16100,B,7,77777,A,7,1.4,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,292.9666523
1/2/1999,17:00,332,1415,192,2,8,599,2,15,51,2,8,200,2,8,491,2,15,84,2,8,95,2,19,0,E,9,0,E,9,12,A,7,-6,A,7,26,A,7,998,A,7,360,A,7,5.7,A,7,16100,B,7,77777,A,7,1.3,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,291.4232258
1/2/1999,18:00,77,1073,21,2,8,201,2,15,11,2,8,28,2,8,117,2,15,19,2,8,25,2,19,0,E,9,0,E,9,10,A,7,-6,A,7,30,A,7,999,A,7,20,A,7,3.6,A,7,16100,B,7,77777,A,7,1.3,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,287.1828635
1/2/1999,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,8,A,7,-6,A,7,34,A,7,1000,A,7,20,A,7,3.1,A,7,16100,B,7,77777,A,7,1.3,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,282.3781857
1/2/1999,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,8,A,7,-6,A,7,34,A,7,1000,A,7,30,A,7,3.1,A,7,16100,B,7,77777,A,7,1.3,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,280.5257808
1/2/1999,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,7,A,7,-6,A,7,37,A,7,1001,A,7,10,A,7,3.1,A,7,16100,B,7,77777,A,7,1.3,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,279.2982157
1/2/1999,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,6,A,7,-6,A,7,39,A,7,1001,A,7,20,A,7,3.1,A,7,16100,B,7,77777,A,7,1.3,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,278.1730777
1/2/1999,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,5,A,7,-5,A,7,46,A,7,1002,A,7,20,A,7,2.6,A,7,16100,B,7,77777,A,7,1.3,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,277.6396099
1/2/1999,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,5,A,7,-6,A,7,42,A,7,1002,A,7,30,A,7,3.6,A,7,16100,B,7,77777,A,7,1.3,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,277.1294469
1/3/1999,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,4,A,7,-6,A,7,45,A,7,1002,A,7,40,A,7,2.1,A,7,16100,B,7,77777,A,7,1.2,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,276.5788317
1/3/1999,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,3,A,7,-6,A,7,49,A,7,1003,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,1.2,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,275.5417608
1/3/1999,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,B,8,0,B,8,2.5,B,8,-5.1,B,8,54,A,7,1003,B,8,350,B,8,0.8,B,8,16100,C,8,77777,B,8,1.2,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,274.955167
1/3/1999,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,2,A,7,-4,A,7,62,A,7,1004,A,7,340,A,7,1.5,A,7,16100,B,7,77777,A,7,1.2,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,274.4121498
1/3/1999,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,1,A,7,-4,A,7,67,A,7,1004,A,7,20,A,7,3.1,A,7,16100,B,7,77777,A,7,1.2,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,273.5971747
1/3/1999,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,2,A,7,-6,A,7,52,A,7,1005,A,7,30,A,7,3.1,A,7,16100,B,7,77777,A,7,1.2,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,273.451302
1/3/1999,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,1,A,7,-6,A,7,56,A,7,1006,A,7,20,A,7,3.6,A,7,16100,B,7,77777,A,7,1.2,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,273.2522458
1/3/1999,8:00,32,696,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,0,E,9,0,E,9,1,A,7,-8,A,7,47,A,7,1007,A,7,20,A,7,5.1,A,7,16100,B,7,77777,A,7,1.1,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,272.9655376
1/3/1999,9:00,264,1415,170,2,8,589,2,15,60,2,8,172,2,8,431,2,15,91,2,8,103,2,19,0,E,9,0,E,9,2,A,7,-8,A,7,44,A,7,1008,A,7,20,A,7,6.7,A,7,16100,B,7,77777,A,7,1.1,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,273.936186
1/3/1999,10:00,504,1415,332,2,8,748,2,15,64,2,8,344,2,8,694,2,15,95,2,8,128,2,19,0,E,9,0,E,9,4,A,7,-10,A,7,32,A,7,1009,A,7,20,A,7,7.7,A,7,16100,B,7,77777,A,7,1.1,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,276.3187107
1/3/1999,11:00,692,1415,501,2,8,869,2,15,74,2,8,523,2,8,844,2,15,108,2,8,154,2,19,0,E,9,0,A,7,6,A,7,-12,A,7,23,A,7,1009,A,7,30,A,7,8.2,A,7,16100,B,7,77777,A,7,1.1,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,282.1672493
1/3/1999,12:00,815,1415,586,2,8,684,2,15,190,2,8,602,2,8,673,2,15,212,2,8,413,2,19,10,E,9,10,E,9,6,A,7,-12,A,7,23,A,7,1009,A,7,30,A,7,7.2,A,7,16100,B,7,2100,A,7,1.1,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,282.7684618
1/3/1999,13:00,865,1415,357,2,8,108,2,15,290,2,8,392,2,8,110,2,15,324,2,8,931,2,19,10,E,9,10,A,7,7,A,7,-12,A,7,22,A,7,1008,A,7,20,A,7,6.2,A,7,16100,B,7,2100,A,7,1,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,280.0893342
1/3/1999,14:00,837,1415,394,2,8,155,2,15,301,2,8,425,2,8,161,2,15,330,2,8,808,2,19,10,E,9,10,E,9,7,A,7,-12,A,7,22,A,7,1007,A,7,360,A,7,6.7,A,7,16100,B,7,2100,A,7,1,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,279.5502955
1/3/1999,15:00,734,1415,301,2,8,77,2,15,261,2,8,330,2,8,78,2,15,290,2,8,762,2,19,10,E,9,10,E,9,6,A,7,-13,A,7,21,A,7,1007,A,7,20,A,7,6.7,A,7,16100,B,7,2100,A,7,1,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,276.8400856
1/3/1999,16:00,563,1415,172,2,8,23,2,15,162,2,8,192,2,8,18,2,15,185,2,8,602,2,19,10,E,9,10,E,9,6,A,7,-13,A,7,21,A,7,1008,A,7,20,A,7,4.6,A,7,16100,B,7,2100,A,7,1,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,276.6560807
1/3/1999,17:00,336,1415,108,2,8,67,2,15,92,2,8,118,2,8,58,2,15,105,2,8,233,2,19,10,E,9,10,E,9,6,A,7,-12,A,7,23,A,7,1008,A,7,20,A,7,5.7,A,7,16100,B,7,2400,A,7,1,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,277.0765286
1/3/1999,18:00,80,1097,22,2,8,146,2,15,14,2,8,27,2,8,75,2,15,21,2,8,27,2,19,10,E,9,10,E,9,4,A,7,-12,A,7,27,A,7,1008,A,7,30,A,7,4.1,A,7,16100,B,7,2400,A,7,0.9,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,277.2649932
1/3/1999,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,4,A,7,-12,A,7,27,A,7,1009,A,7,10,A,7,3.6,A,7,16100,B,7,2100,A,7,0.9,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,276.6185218
1/3/1999,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,3,A,7,-12,A,7,29,A,7,1010,A,7,20,A,7,6.2,A,7,16100,B,7,2100,A,7,0.9,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,275.5669875
1/3/1999,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,3,A,7,-12,A,7,29,A,7,1011,A,7,10,A,7,4.6,A,7,16100,B,7,2400,A,7,0.9,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,274.6480788
1/3/1999,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,3,A,7,-11,A,7,31,A,7,1011,A,7,40,A,7,3.1,A,7,16100,B,7,2100,A,7,0.9,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,274.6530078
1/3/1999,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,3,A,7,-12,A,7,29,A,7,1011,A,7,20,A,7,4.6,A,7,16100,B,7,2400,A,7,0.8,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,274.6553595
1/3/1999,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,3,A,7,-13,A,7,26,A,7,1012,A,7,10,A,7,3.6,A,7,16100,B,7,2400,A,7,0.8,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,274.6564819
1/4/1999,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,2,A,7,-13,A,7,28,A,7,1012,A,7,20,A,7,4.1,A,7,16100,B,7,1800,A,7,0.8,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,274.347321
1/4/1999,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,2,A,7,-12,A,7,31,A,7,1012,A,7,40,A,7,4.1,A,7,16100,B,7,2400,A,7,0.8,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,274.005164
1/4/1999,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,2,A,7,-12,A,7,31,A,7,1012,A,7,30,A,7,2.6,A,7,16100,B,7,2400,A,7,0.8,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,273.8340014
1/4/1999,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1,A,7,-11,A,7,36,A,7,1013,A,7,40,A,7,2.1,A,7,16100,B,7,2100,A,7,0.7,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,273.4476764
1/4/1999,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,1,A,7,-12,A,7,33,A,7,1012,A,7,30,A,7,2.1,A,7,16100,B,7,2100,A,7,0.7,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,273.0650631
1/4/1999,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,0,A,7,-12,A,7,36,A,7,1013,A,7,30,A,7,3.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,272.7041428
1/4/1999,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-1,A,7,-11,A,7,42,A,7,1013,A,7,90,A,7,1.5,A,7,16100,B,7,77777,A,7,0.7,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,271.7474733
1/4/1999,8:00,32,696,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,8,E,9,8,E,9,-1,A,7,-10,A,7,46,A,7,1014,A,7,30,A,7,2.6,A,7,16100,B,7,1800,A,7,0.7,E,8,0.062,F,8,0.18,F,8,0,1,D,9,0,C,8,271.2402439
