722314,NEW IBERIA NAAS,LA,-6,30.033,-91.883,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2003,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,8,A,7,6,A,7,87,A,7,1009,A,7,300,A,7,4.6,A,7,16100,B,7,480,A,7,2.3,E,8,0.067,F,8,0.17,F,8,3,1,D,9,0,C,8,281
1/1/2003,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,7,A,7,6,A,7,93,A,7,1010,A,7,290,A,7,4.1,A,7,16100,B,7,480,A,7,2.2,E,8,0.067,F,8,0.17,F,8,3,1,D,9,0,C,8,279.5390578
1/1/2003,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,6,A,7,6,A,7,100,A,7,1010,A,7,280,A,7,2.6,A,7,16100,B,7,77777,A,7,2.2,E,8,0.067,F,8,0.17,F,8,3,1,D,9,0,C,8,278.7910473
1/1/2003,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,7,A,7,6,A,7,93,A,7,1010,A,7,270,A,7,3.6,A,7,16100,B,7,510,A,7,2,E,8,0.067,F,8,0.17,F,8,3,1,D,9,0,C,8,278.5048929
1/1/2003,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,6,A,7,6,A,7,100,A,7,1010,A,7,290,A,7,2.1,A,7,16100,B,7,77777,A,7,1.7,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,278.2357758
1/1/2003,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,5,A,7,5,A,7,100,A,7,1011,A,7,260,A,7,2.1,A,7,16100,B,7,77777,A,7,1.5,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,277.6263364
1/1/2003,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,5,A,7,5,A,7,100,A,7,1012,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,1.3,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,277.1224868
1/1/2003,8:00,110,1309,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,0,E,9,0,E,9,6,A,7,6,A,7,100,A,7,1012,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,1.2,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,277.1907185
1/1/2003,9:00,366,1415,237,2,8,696,2,15,56,2,8,239,2,8,592,2,15,85,2,8,101,2,19,0,E,9,0,E,9,8,A,7,6,A,7,87,A,7,1013,A,7,290,A,7,3.1,A,7,16100,B,7,77777,A,7,1.1,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,279.1267088
1/1/2003,10:00,582,1415,399,2,8,793,2,15,72,2,8,416,2,8,756,2,15,104,2,8,148,2,19,0,E,9,0,E,9,9,A,7,6,A,7,81,A,7,1013,A,7,290,A,7,2.1,A,7,16100,B,7,77777,A,7,1,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,282.4169086
1/1/2003,11:00,741,1415,529,2,8,870,2,15,72,2,8,553,2,8,851,2,15,106,2,8,161,2,19,0,E,9,0,E,9,11,A,7,7,A,7,76,A,7,1013,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.9,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,286.8003801
1/1/2003,12:00,830,1415,590,2,8,826,2,15,103,2,8,619,2,8,822,2,15,135,2,8,235,2,19,0,E,9,0,E,9,12,A,7,7,A,7,71,A,7,1012,A,7,200,A,7,2.6,A,7,16100,B,7,77777,A,7,0.8,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,290.3300746
1/1/2003,13:00,844,1415,591,2,8,809,2,15,106,2,8,619,2,8,806,2,15,137,2,8,244,2,19,0,E,9,0,E,9,14,A,7,6,A,7,59,A,7,1011,A,7,220,A,7,3.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,292.9380276
1/1/2003,14:00,782,1415,532,2,8,816,2,15,80,2,8,570,2,8,814,2,15,118,2,8,190,2,19,0,E,9,0,A,7,15,A,7,7,A,7,59,A,7,1011,A,7,180,A,7,3.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,295.1157063
1/1/2003,15:00,648,1415,433,2,8,760,2,15,83,2,8,450,2,8,736,2,15,111,2,8,171,2,19,0,E,9,0,A,7,15,A,7,7,A,7,59,A,7,1011,A,7,200,A,7,3.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,296.0250128
1/1/2003,16:00,452,1415,277,2,8,660,2,15,65,2,8,290,2,8,598,2,15,98,2,8,126,2,19,0,E,9,0,A,7,15,A,7,8,A,7,63,A,7,1012,A,7,190,A,7,3.6,A,7,16100,B,7,77777,A,7,0.9,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,295.7338928
1/1/2003,17:00,207,1415,98,2,8,457,2,15,31,2,8,99,2,8,325,2,15,51,2,8,58,2,19,0,B,8,0,B,8,13.4,B,8,8.1,B,8,70,A,7,1012,B,8,190,B,8,3.1,B,8,16100,C,8,77777,B,8,0.9,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,293.6348638
1/1/2003,18:00,11,413,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,0,E,9,0,E,9,11,A,7,8,A,7,82,A,7,1013,A,7,190,A,7,2.6,A,7,16100,B,7,77777,A,7,0.9,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,288.616898
1/1/2003,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,8,A,7,7,A,7,93,A,7,1012,A,7,130,A,7,3.1,A,7,16100,B,7,77777,A,7,1.1,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,284.0165739
1/1/2003,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,B,8,0,B,8,7.4,B,8,6.8,B,8,96,A,7,1012,B,8,140,B,8,2.3,B,8,13700,C,8,77777,B,8,1.2,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,281.4957281
1/1/2003,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,7,A,7,7,A,7,100,A,7,1012,A,7,150,A,7,1.5,A,7,11300,B,7,77777,A,7,1.4,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,280.174434
1/1/2003,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,7,A,7,7,A,7,100,A,7,1012,A,7,160,A,7,2.1,A,7,11300,B,7,77777,A,7,1.6,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,279.406046
1/1/2003,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,8,A,7,8,A,7,100,A,7,1012,A,7,160,A,7,3.1,A,7,16100,B,7,77777,A,7,1.8,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,279.3083866
1/1/2003,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,8,A,7,8,A,7,100,A,7,1012,A,7,160,A,7,2.6,A,7,12900,B,7,77777,A,7,2,E,8,0.067,F,8,0.17,F,8,3,1,D,9,0,C,8,279.4524843
1/2/2003,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,10,A,7,10,A,7,100,A,7,1012,A,7,170,A,7,3.1,A,7,16100,B,7,77777,A,7,2.1,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,280.2136522
1/2/2003,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,11,A,7,11,A,7,100,A,7,1012,A,7,170,A,7,3.1,A,7,16100,B,7,77777,A,7,2.2,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,281.3043298
1/2/2003,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,13,A,7,13,A,7,100,A,7,1011,A,7,190,A,7,2.6,A,7,16100,B,7,1080,A,7,2.3,E,8,0.066,F,8,0.17,F,8,5,1,D,9,0,C,8,282.7047331
1/2/2003,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,15,A,7,14,A,7,94,A,7,1011,A,7,200,A,7,6.2,A,7,16100,B,7,77777,A,7,2.1,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,284.4455055
1/2/2003,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,13,A,7,11,A,7,88,A,7,1012,A,7,300,A,7,7.7,A,7,16100,B,7,1020,A,7,1.9,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,284.8773978
1/2/2003,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,11,A,7,8,A,7,82,A,7,1013,A,7,290,A,7,6.7,A,7,16100,B,7,1800,A,7,1.7,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,284.5915363
1/2/2003,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,8,A,7,4,A,7,76,A,7,1014,A,7,300,A,7,6.7,A,7,16100,B,7,77777,A,7,1.4,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,282.2790407
1/2/2003,8:00,109,1285,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,0,E,9,0,E,9,7,A,7,4,A,7,81,A,7,1016,A,7,290,A,7,5.7,A,7,16100,B,7,77777,A,7,1.2,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,280.2206017
1/2/2003,9:00,365,1415,221,2,8,585,2,15,70,2,8,227,2,8,490,2,15,100,2,8,126,2,19,0,E,9,0,E,9,7,A,7,2,A,7,70,A,7,1017,A,7,310,A,7,9.3,A,7,16100,B,7,77777,A,7,0.9,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,279.2600181
1/2/2003,10:00,582,1415,372,2,8,644,2,15,106,2,8,386,2,8,612,2,15,133,2,8,207,2,19,0,E,9,0,E,9,7,A,7,2,A,7,70,A,7,1017,A,7,290,A,7,7.7,A,7,16100,B,7,77777,A,7,0.9,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,282.5214055
1/2/2003,11:00,741,1415,503,2,8,742,2,15,113,2,8,532,2,8,739,2,15,143,2,8,249,2,19,0,E,9,0,E,9,8,A,7,3,A,7,71,A,7,1017,A,7,280,A,7,7.2,A,7,16100,B,7,77777,A,7,0.9,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,284.0647767
1/2/2003,12:00,832,1415,559,2,8,724,2,15,132,2,8,591,2,8,728,2,15,161,2,8,311,2,19,0,E,9,0,E,9,9,A,7,3,A,7,66,A,7,1017,A,7,290,A,7,7.7,A,7,16100,B,7,77777,A,7,0.9,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,286.442451
1/2/2003,13:00,846,1415,555,2,8,653,2,15,163,2,8,579,2,8,652,2,15,187,2,8,378,2,19,0,E,9,0,E,9,9,A,7,3,A,7,66,A,7,1016,A,7,280,A,7,7.7,A,7,16100,B,7,77777,A,7,0.9,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,287.7647026
1/2/2003,14:00,785,1415,504,2,8,655,2,15,139,2,8,527,2,8,652,2,15,164,2,8,310,2,19,4,E,9,4,E,9,10,A,7,4,A,7,66,A,7,1016,A,7,330,A,7,6.7,A,7,16100,B,7,77777,A,7,0.9,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,288.9870634
1/2/2003,15:00,651,1415,427,2,8,719,2,15,95,2,8,451,2,8,704,2,15,126,2,8,199,2,19,3,E,9,3,E,9,9,A,7,3,A,7,66,A,7,1017,A,7,310,A,7,8.7,A,7,16100,B,7,77777,A,7,0.9,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,290.1253312
1/2/2003,16:00,455,1415,256,2,8,494,2,15,97,2,8,271,2,8,447,2,15,127,2,8,181,2,19,0,E,9,0,E,9,8,A,7,3,A,7,71,A,7,1018,A,7,330,A,7,6.7,A,7,12900,B,7,77777,A,7,0.9,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,288.9089842
1/2/2003,17:00,210,1415,94,2,8,396,2,15,35,2,8,97,2,8,269,2,15,57,2,8,64,2,19,0,E,9,0,E,9,8,A,7,3,A,7,71,A,7,1019,A,7,330,A,7,6.2,A,7,16100,B,7,77777,A,7,0.9,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,287.0127408
1/2/2003,18:00,11,436,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,0,E,9,0,E,9,6,A,7,3,A,7,81,A,7,1020,A,7,360,A,7,2.6,A,7,16100,B,7,77777,A,7,1,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,283.06
1/2/2003,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,5,A,7,2,A,7,81,A,7,1020,A,7,350,A,7,2.6,A,7,16100,B,7,77777,A,7,0.9,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,279.5196735
1/2/2003,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,4,A,7,2,A,7,87,A,7,1021,A,7,360,A,7,2.1,A,7,16100,B,7,77777,A,7,0.9,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,277.552312
1/2/2003,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,4,A,7,2,A,7,87,A,7,1022,A,7,340,A,7,2.6,A,7,16100,B,7,77777,A,7,0.8,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,276.4735736
1/2/2003,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,3,A,7,2,A,7,93,A,7,1022,A,7,340,A,7,2.6,A,7,16100,B,7,77777,A,7,0.9,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,275.7417258
1/2/2003,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,3,A,7,2,A,7,93,A,7,1023,A,7,330,A,7,3.1,A,7,16100,B,7,77777,A,7,0.9,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,275.2017599
1/2/2003,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,3,A,7,2,A,7,93,A,7,1023,A,7,310,A,7,2.1,A,7,16100,B,7,77777,A,7,0.9,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,274.9229707
1/3/2003,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,3,A,7,2,A,7,93,A,7,1023,A,7,280,A,7,1.5,A,7,16100,B,7,77777,A,7,0.9,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,274.7854926
1/3/2003,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,2,A,7,1,A,7,93,A,7,1023,A,7,310,A,7,2.6,A,7,16100,B,7,77777,A,7,0.9,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,274.4136534
1/3/2003,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,2,A,7,1,A,7,93,A,7,1023,A,7,320,A,7,2.6,A,7,16100,B,7,77777,A,7,0.9,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,274.0389979
1/3/2003,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,3,A,7,1,A,7,87,A,7,1023,A,7,300,A,7,3.1,A,7,16100,B,7,77777,A,7,0.9,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,274.1754169
1/3/2003,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,2,A,7,0,A,7,87,A,7,1023,A,7,280,A,7,1.5,A,7,16100,B,7,77777,A,7,0.9,E,8,0.066,F,8,0.17,F,8,3,1,D,9,0,C,8,274.1079208
1/3/2003,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,2,A,7,0,A,7,87,A,7,1024,A,7,320,A,7,3.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,273.8850293
1/3/2003,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,1,A,7,0,A,7,93,A,7,1024,A,7,340,A,7,2.6,A,7,16100,B,7,77777,A,7,0.8,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,273.4744751
1/3/2003,8:00,109,1285,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,0,E,9,0,E,9,3,A,7,0,A,7,81,A,7,1025,A,7,290,A,7,2.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,273.7257538
1/3/2003,9:00,365,1415,214,2,8,519,2,15,79,2,8,216,2,8,431,2,15,105,2,8,139,2,19,0,E,9,0,E,9,5,A,7,1,A,7,75,A,7,1026,A,7,340,A,7,3.6,A,7,16100,B,7,77777,A,7,0.7,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,275.5838745
1/3/2003,10:00,582,1415,379,2,8,669,2,15,103,2,8,394,2,8,637,2,15,131,2,8,203,2,19,0,E,9,0,E,9,7,A,7,-2,A,7,52,A,7,1026,A,7,10,A,7,6.2,A,7,16100,B,7,77777,A,7,0.7,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,278.8159112
1/3/2003,11:00,742,1415,529,2,8,852,2,15,81,2,8,562,2,8,844,2,15,118,2,8,184,2,19,0,E,9,0,E,9,8,A,7,-1,A,7,52,A,7,1025,A,7,20,A,7,4.6,A,7,16100,B,7,77777,A,7,0.7,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,283.6385525
1/3/2003,12:00,833,1415,602,2,8,868,2,15,89,2,8,626,2,8,856,2,15,120,2,8,188,2,19,0,E,9,0,E,9,9,A,7,-1,A,7,49,A,7,1024,A,7,320,A,7,4.6,A,7,16100,B,7,77777,A,7,0.7,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,287.0351949
1/3/2003,13:00,848,1415,615,2,8,893,2,15,77,2,8,642,2,8,883,2,15,110,2,8,184,2,19,0,E,9,0,E,9,10,A,7,-1,A,7,46,A,7,1023,A,7,350,A,7,3.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,289.9519677
1/3/2003,14:00,788,1415,550,2,8,875,2,15,61,2,8,578,2,8,862,2,15,96,2,8,158,2,19,0,E,9,0,E,9,11,A,7,0,A,7,47,A,7,1023,A,7,330,A,7,4.6,A,7,16100,B,7,77777,A,7,0.8,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,292.1676705
1/3/2003,15:00,654,1415,450,2,8,837,2,15,62,2,8,473,2,8,809,2,15,97,2,8,142,2,19,0,E,9,0,E,9,12,A,7,0,A,7,44,A,7,1023,A,7,330,A,7,3.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,293.4394232
1/3/2003,16:00,458,1415,288,2,8,706,2,15,58,2,8,298,2,8,642,2,15,89,2,8,116,2,19,0,E,9,0,E,9,11,A,7,1,A,7,50,A,7,1023,A,7,320,A,7,4.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,292.8513526
1/3/2003,17:00,214,1415,103,2,8,480,2,15,30,2,8,105,2,8,347,2,15,52,2,8,58,2,19,0,E,9,0,E,9,10,A,7,1,A,7,54,A,7,1023,A,7,350,A,7,3.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,290.343828
1/3/2003,18:00,12,436,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,0,E,9,0,E,9,7,A,7,3,A,7,76,A,7,1023,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.8,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,284.9992917
1/3/2003,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,7,A,7,1,A,7,66,A,7,1023,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.8,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,280.9355519
1/3/2003,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,4,A,7,1,A,7,81,A,7,1023,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.8,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,278.3667387
1/3/2003,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,3,A,7,2,A,7,93,A,7,1023,A,7,0,A,7,0,A,7,12900,B,7,77777,A,7,0.8,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,276.5750295
1/3/2003,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,3,A,7,2,A,7,93,A,7,1023,A,7,0,A,7,0,A,7,9700,B,7,77777,A,7,0.8,E,8,0.066,F,8,0.17,F,8,0,1,D,9,10,C,8,275.5698104
1/3/2003,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,2,A,7,2,A,7,100,A,7,1023,A,7,0,A,7,0,A,7,6400,B,7,77777,A,7,0.8,E,8,0.066,F,8,0.17,F,8,0,1,D,9,10,C,8,274.8467291
1/3/2003,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,2,A,7,2,A,7,100,A,7,1023,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.8,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,274.2677043
1/4/2003,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,1,A,7,1,A,7,100,A,7,1023,A,7,0,A,7,0,A,7,11300,B,7,77777,A,7,0.8,E,8,0.065,F,8,0.17,F,8,0,1,D,9,0,C,8,273.6857973
1/4/2003,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,1,A,7,1,A,7,100,A,7,1023,A,7,0,A,7,0,A,7,12900,B,7,77777,A,7,0.9,E,8,0.065,F,8,0.17,F,8,0,1,D,9,0,C,8,273.1897025
1/4/2003,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,1,A,7,1,A,7,100,A,7,1023,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.9,E,8,0.065,F,8,0.17,F,8,0,1,D,9,0,C,8,272.9338278
1/4/2003,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,0,A,7,0,A,7,100,A,7,1023,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.9,E,8,0.065,F,8,0.17,F,8,0,1,D,9,0,C,8,272.5091038
1/4/2003,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,1,A,7,1,A,7,100,A,7,1023,A,7,150,A,7,1.5,A,7,16100,B,7,77777,A,7,0.9,E,8,0.065,F,8,0.17,F,8,0,1,D,9,0,C,8,272.4162256
1/4/2003,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,1,A,7,0,A,7,93,A,7,1024,A,7,120,A,7,2.6,A,7,16100,B,7,77777,A,7,0.9,E,8,0.065,F,8,0.17,F,8,0,1,D,9,0,C,8,272.5588892
1/4/2003,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,1,A,7,0,A,7,93,A,7,1024,A,7,140,A,7,2.6,A,7,16100,B,7,77777,A,7,0.9,E,8,0.065,F,8,0.17,F,8,0,1,D,9,0,C,8,272.6264555
1/4/2003,8:00,108,1285,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,0,E,9,0,E,9,2,A,7,1,A,7,93,A,7,1024,A,7,140,A,7,2.1,A,7,14500,B,7,77777,A,7,1,E,8,0.065,F,8,0.17,F,8,0,1,D,9,0,C,8,272.9917244
