722517,ALICE INTL AP,TX,-6,27.733,-98.033,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2005,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,17,A,7,17,A,7,100,A,7,1012,A,7,110,A,7,3.1,A,7,3200,B,7,30,A,7,3.1,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,290
1/1/2005,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,17,A,7,17,A,7,100,A,7,1012,A,7,80,A,7,2.1,A,7,400,B,7,30,A,7,3,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,289.2038183
1/1/2005,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,17,A,7,17,A,7,100,A,7,1011,A,7,90,A,7,2.1,A,7,400,B,7,30,A,7,2.9,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,288.7949251
1/1/2005,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,17,A,7,17,A,7,100,A,7,1011,A,7,110,A,7,2.6,A,7,400,B,7,30,A,7,2.9,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,288.5992435
1/1/2005,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,17,A,7,17,A,7,100,A,7,1011,A,7,110,A,7,2.6,A,7,400,B,7,30,A,7,2.9,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,288.5077875
1/1/2005,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,17,A,7,17,A,7,100,A,7,1012,A,7,100,A,7,1.5,A,7,400,B,7,30,A,7,2.9,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,288.4654662
1/1/2005,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,17,A,7,17,A,7,100,A,7,1012,A,7,100,A,7,3.1,A,7,400,B,7,30,A,7,3,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,288.4459679
1/1/2005,8:00,47,837,1,2,8,0,2,15,1,2,8,1,2,8,0,2,15,1,2,8,4,2,19,10,E,9,10,A,7,17,A,7,17,A,7,100,A,7,1012,A,7,90,A,7,2.6,A,7,400,B,7,30,A,7,3.2,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,288.4334163
1/1/2005,9:00,294,1415,72,2,8,0,2,15,72,2,8,81,2,8,0,2,15,81,2,8,250,2,19,10,E,9,10,E,9,19,A,7,18,A,7,94,A,7,1012,A,7,120,A,7,4.6,A,7,9700,B,7,30,A,7,3.3,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,288.878812
1/1/2005,10:00,536,1415,300,2,8,338,2,15,172,2,8,316,2,8,329,2,15,191,2,8,369,2,19,10,E,9,9,A,7,22,A,7,19,A,7,83,A,7,1013,A,7,130,A,7,5.1,A,7,16100,B,7,2100,A,7,3.4,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,291.0227832
1/1/2005,11:00,725,1415,414,2,8,360,2,15,229,2,8,440,2,8,374,2,15,248,2,8,533,2,19,10,E,9,10,E,9,25,A,7,18,A,7,65,A,7,1013,A,7,140,A,7,8.7,A,7,16100,B,7,720,A,7,3.5,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,294.4022949
1/1/2005,12:00,846,1415,330,2,8,109,2,15,264,2,8,362,2,8,110,2,15,296,2,8,851,2,19,10,E,9,10,E,9,26,A,7,18,A,7,61,A,7,1012,A,7,140,A,7,5.7,A,7,16100,B,7,1290,A,7,3.6,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,295.9454556
1/1/2005,13:00,893,1415,549,2,8,427,2,15,279,2,8,591,2,8,456,2,15,302,2,8,730,2,19,10,E,9,10,A,7,27,A,7,16,A,7,51,A,7,1011,A,7,140,A,7,7.2,A,7,16100,B,7,1470,A,7,3.7,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,298.4348298
1/1/2005,14:00,862,1415,241,2,8,24,2,15,226,2,8,278,2,8,20,2,15,266,2,8,971,2,19,10,E,9,10,A,7,27,A,7,16,A,7,51,A,7,1010,A,7,130,A,7,5.7,A,7,16100,B,7,1800,A,7,3.7,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,299.0713377
1/1/2005,15:00,755,1415,159,2,8,0,2,15,159,2,8,186,2,8,0,2,15,186,2,8,697,2,19,10,E,9,10,A,7,27,A,7,17,A,7,54,A,7,1010,A,7,120,A,7,8.2,A,7,16100,B,7,1800,A,7,3.8,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,297.7019903
1/1/2005,16:00,578,1415,242,2,8,134,2,15,187,2,8,262,2,8,132,2,15,208,2,8,441,2,19,10,E,9,10,A,7,26,A,7,18,A,7,61,A,7,1010,A,7,130,A,7,7.7,A,7,16100,B,7,1800,A,7,3.7,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,297.598197
1/1/2005,17:00,346,1415,193,2,8,484,2,15,74,2,8,196,2,8,395,2,15,99,2,8,130,2,19,6,E,9,3,A,7,24,A,7,18,A,7,69,A,7,1011,A,7,130,A,7,6.2,A,7,16100,B,7,77777,A,7,3.5,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,299.8624685
1/1/2005,18:00,84,1120,23,2,8,222,2,15,10,2,8,30,2,8,132,2,15,19,2,8,24,2,19,1,E,9,0,A,7,22,A,7,18,A,7,78,A,7,1011,A,7,130,A,7,5.7,A,7,16100,B,7,77777,A,7,3.4,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,298.3529935
1/1/2005,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,22,A,7,19,A,7,83,A,7,1011,A,7,110,A,7,5.1,A,7,16100,B,7,2100,A,7,3.5,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,295.5278034
1/1/2005,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,21,A,7,19,A,7,88,A,7,1012,A,7,110,A,7,5.7,A,7,16100,B,7,270,A,7,3.7,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,293.6731235
1/1/2005,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,21,A,7,19,A,7,88,A,7,1012,A,7,120,A,7,5.7,A,7,16100,B,7,2100,A,7,3.8,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,293.5499445
1/1/2005,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,6,E,9,21,A,7,19,A,7,88,A,7,1012,A,7,110,A,7,4.6,A,7,16100,B,7,77777,A,7,3.8,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,292.6588921
1/1/2005,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,3,E,9,20,A,7,19,A,7,94,A,7,1012,A,7,120,A,7,3.6,A,7,14500,B,7,77777,A,7,3.8,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,292.1767681
1/1/2005,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,9,E,9,19,A,7,18,A,7,94,A,7,1012,A,7,120,A,7,3.6,A,7,12900,B,7,120,A,7,3.8,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,291.5740324
1/2/2005,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,20,A,7,19,A,7,94,A,7,1012,A,7,130,A,7,4.1,A,7,16100,B,7,120,A,7,4,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,291.278279
1/2/2005,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,20,A,7,19,A,7,94,A,7,1012,A,7,120,A,7,3.1,A,7,8000,B,7,60,A,7,4.1,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,291.3325101
1/2/2005,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,19,A,7,19,A,7,100,A,7,1012,A,7,130,A,7,2.6,A,7,8000,B,7,60,A,7,4.3,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,291.0285893
1/2/2005,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,20,A,7,19,A,7,94,A,7,1012,A,7,130,A,7,4.1,A,7,11300,B,7,60,A,7,4.2,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,291.0248247
1/2/2005,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,21,A,7,20,A,7,94,A,7,1012,A,7,130,A,7,3.6,A,7,12900,B,7,60,A,7,4.1,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,291.5714903
1/2/2005,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,21,A,7,21,A,7,100,A,7,1012,A,7,140,A,7,5.1,A,7,14500,B,7,120,A,7,4,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,292.0099353
1/2/2005,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,22,A,7,21,A,7,94,A,7,1013,A,7,140,A,7,3.6,A,7,16100,B,7,150,A,7,4.1,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,292.5563291
1/2/2005,8:00,46,837,1,2,8,0,2,15,1,2,8,1,2,8,0,2,15,1,2,8,4,2,19,10,E,9,10,E,9,22,A,7,21,A,7,94,A,7,1014,A,7,120,A,7,4.1,A,7,16100,B,7,150,A,7,4.1,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,292.9907589
1/2/2005,9:00,294,1415,45,2,8,0,2,15,45,2,8,52,2,8,0,2,15,52,2,8,175,2,19,10,E,9,10,E,9,22,A,7,21,A,7,94,A,7,1014,A,7,120,A,7,5.7,A,7,14500,B,7,150,A,7,4.2,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,293.0220175
1/2/2005,10:00,536,1415,56,2,8,0,2,15,56,2,8,68,2,8,0,2,15,68,2,8,254,2,19,10,E,9,10,E,9,23,A,7,21,A,7,89,A,7,1014,A,7,130,A,7,5.7,A,7,16100,B,7,150,A,7,4.2,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,293.264055
1/2/2005,11:00,725,1415,168,2,8,0,2,15,168,2,8,194,2,8,0,2,15,194,2,8,712,2,19,10,E,9,10,E,9,23,A,7,21,A,7,89,A,7,1014,A,7,140,A,7,6.7,A,7,16100,B,7,420,A,7,4.2,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,293.1541211
1/2/2005,12:00,848,1415,230,2,8,12,2,15,223,2,8,266,2,8,10,2,15,260,2,8,953,2,19,10,E,9,10,A,7,24,A,7,21,A,7,83,A,7,1014,A,7,130,A,7,8.2,A,7,16100,B,7,240,A,7,4.1,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,293.1322069
1/2/2005,13:00,895,1415,417,2,8,180,2,15,302,2,8,453,2,8,189,2,15,333,2,8,844,2,19,9,E,9,9,A,7,26,A,7,21,A,7,74,A,7,1013,A,7,130,A,7,7.2,A,7,16100,B,7,720,A,7,4.1,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,294.7643509
1/2/2005,14:00,864,1415,206,2,8,6,2,15,202,2,8,240,2,8,5,2,15,237,2,8,896,2,19,10,E,9,10,A,7,26,A,7,20,A,7,70,A,7,1012,A,7,130,A,7,7.2,A,7,16100,B,7,1200,A,7,4.1,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,295.6094127
1/2/2005,15:00,757,1415,176,2,8,0,2,15,176,2,8,204,2,8,0,2,15,204,2,8,754,2,19,9,E,9,9,A,7,27,A,7,20,A,7,66,A,7,1011,A,7,130,A,7,9.3,A,7,16100,B,7,1470,A,7,4.1,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,295.9520047
1/2/2005,16:00,582,1415,156,2,8,6,2,15,154,2,8,177,2,8,4,2,15,175,2,8,594,2,19,10,E,9,10,A,7,26,A,7,20,A,7,70,A,7,1011,A,7,120,A,7,8.2,A,7,16100,B,7,1020,A,7,4.1,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,296.0602322
1/2/2005,17:00,349,1415,113,2,8,72,2,15,95,2,8,124,2,8,62,2,15,108,2,8,242,2,19,9,E,9,9,A,7,24,A,7,20,A,7,78,A,7,1012,A,7,140,A,7,8.2,A,7,16100,B,7,1380,A,7,4,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,297.8926433
1/2/2005,18:00,87,1144,19,2,8,79,2,15,15,2,8,24,2,8,36,2,15,21,2,8,25,2,19,10,E,9,10,A,7,23,A,7,20,A,7,83,A,7,1012,A,7,130,A,7,6.7,A,7,16100,B,7,1800,A,7,4,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,294.6279653
1/2/2005,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,22.2,B,8,20.7,B,8,91,A,7,1013,B,8,130,B,8,5.9,B,8,16100,C,8,1005,B,8,4.1,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,295.360919
1/2/2005,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,22,A,7,21,A,7,94,A,7,1013,A,7,120,A,7,5.1,A,7,16100,B,7,210,A,7,4.1,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,294.6405091
1/2/2005,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,23,A,7,21,A,7,89,A,7,1013,A,7,130,A,7,7.7,A,7,14500,B,7,210,A,7,4.2,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,295.1628361
1/2/2005,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,22,A,7,21,A,7,94,A,7,1013,A,7,120,A,7,7.2,A,7,12900,B,7,180,A,7,4.1,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,294.4200092
1/2/2005,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,22,A,7,21,A,7,94,A,7,1013,A,7,140,A,7,7.2,A,7,12900,B,7,150,A,7,4.1,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,293.2447963
1/2/2005,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,22,A,7,21,A,7,94,A,7,1013,A,7,130,A,7,7.7,A,7,8000,B,7,150,A,7,4.1,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,293.2983744
1/3/2005,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,22,A,7,21,A,7,94,A,7,1013,A,7,140,A,7,5.1,A,7,6400,B,7,180,A,7,4.1,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,293.3225154
1/3/2005,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,22,A,7,21,A,7,94,A,7,1013,A,7,150,A,7,5.7,A,7,12900,B,7,150,A,7,4.1,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,293.3334179
1/3/2005,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,22,A,7,21,A,7,94,A,7,1013,A,7,150,A,7,5.1,A,7,14500,B,7,510,A,7,4.2,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,293.3383468
1/3/2005,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,22,A,7,21,A,7,94,A,7,1013,A,7,140,A,7,3.6,A,7,12900,B,7,1470,A,7,4.1,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,293.3405762
1/3/2005,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,22,A,7,21,A,7,94,A,7,1013,A,7,120,A,7,4.6,A,7,9700,B,7,450,A,7,4.1,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,293.3415847
1/3/2005,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,22,A,7,21,A,7,94,A,7,1013,A,7,140,A,7,5.7,A,7,11300,B,7,90,A,7,4,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,293.3420411
1/3/2005,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,22,A,7,21,A,7,94,A,7,1014,A,7,140,A,7,5.7,A,7,12900,B,7,150,A,7,4.1,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,293.3422475
1/3/2005,8:00,46,837,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,10,E,9,10,E,9,22,A,7,21,A,7,94,A,7,1014,A,7,130,A,7,6.2,A,7,12900,B,7,180,A,7,4.1,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,293.342341
1/3/2005,9:00,293,1415,27,2,8,0,2,15,27,2,8,33,2,8,0,2,15,33,2,8,113,2,19,10,E,9,10,E,9,22,A,7,21,A,7,94,A,7,1015,A,7,130,A,7,6.2,A,7,14500,B,7,330,A,7,4.1,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,293.2455205
1/3/2005,10:00,536,1415,196,2,8,69,2,15,170,2,8,215,2,8,66,2,15,190,2,8,459,2,19,10,E,9,10,E,9,23,A,7,21,A,7,89,A,7,1015,A,7,130,A,7,6.7,A,7,16100,B,7,390,A,7,4,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,293.1753438
1/3/2005,11:00,726,1415,84,2,8,0,2,15,84,2,8,103,2,8,0,2,15,103,2,8,402,2,19,10,E,9,10,E,9,24,A,7,20,A,7,78,A,7,1015,A,7,130,A,7,5.7,A,7,16100,B,7,510,A,7,3.9,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,293.6789578
1/3/2005,12:00,849,1415,131,2,8,0,2,15,131,2,8,158,2,8,0,2,15,158,2,8,627,2,19,10,E,9,10,E,9,26,A,7,19,A,7,65,A,7,1014,A,7,140,A,7,6.2,A,7,16100,B,7,690,A,7,3.9,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,294.7372515
1/3/2005,13:00,897,1415,254,2,8,24,2,15,238,2,8,293,2,8,21,2,15,280,2,8,1031,2,19,10,E,9,10,E,9,27,A,7,19,A,7,62,A,7,1013,A,7,120,A,7,7.2,A,7,16100,B,7,1140,A,7,3.8,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,295.6455612
1/3/2005,14:00,867,1415,452,2,8,287,2,15,276,2,8,485,2,8,305,2,15,297,2,8,709,2,19,8,E,9,8,E,9,28,A,7,19,A,7,58,A,7,1012,A,7,120,A,7,7.7,A,7,16100,B,7,1230,A,7,3.8,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,298.0391702
1/3/2005,15:00,760,1415,369,2,8,172,2,15,276,2,8,398,2,8,177,2,15,303,2,8,708,2,19,9,E,9,9,E,9,27,A,7,18,A,7,58,A,7,1011,A,7,130,A,7,7.2,A,7,16100,B,7,1200,A,7,3.7,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,299.1526421
1/3/2005,16:00,585,1415,226,2,8,88,2,15,190,2,8,248,2,8,86,2,15,213,2,8,523,2,19,8,E,9,8,E,9,27,A,7,18,A,7,58,A,7,1011,A,7,130,A,7,7.7,A,7,16100,B,7,77777,A,7,3.7,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,298.9530042
1/3/2005,17:00,353,1415,147,2,8,206,2,15,95,2,8,155,2,8,172,2,15,112,2,8,186,2,19,2,E,9,2,E,9,26,A,7,18,A,7,61,A,7,1011,A,7,120,A,7,7.7,A,7,16100,B,7,77777,A,7,3.7,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,299.7617553
1/3/2005,18:00,89,1144,26,2,8,140,2,15,18,2,8,32,2,8,65,2,15,27,2,8,31,2,19,0,E,9,0,E,9,23,A,7,19,A,7,78,A,7,1011,A,7,120,A,7,7.7,A,7,16100,B,7,77777,A,7,3.7,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,297.3523933
1/3/2005,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,22,A,7,19,A,7,83,A,7,1012,A,7,130,A,7,5.1,A,7,16100,B,7,77777,A,7,3.6,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,295.0081091
1/3/2005,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,7,E,9,21,A,7,19,A,7,88,A,7,1013,A,7,130,A,7,5.1,A,7,16100,B,7,77777,A,7,3.6,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,294.210928
1/3/2005,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,8,E,9,21,A,7,19,A,7,88,A,7,1013,A,7,120,A,7,5.7,A,7,12900,B,7,77777,A,7,3.6,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,292.9315124
1/3/2005,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,21,A,7,20,A,7,94,A,7,1013,A,7,120,A,7,4.1,A,7,9700,B,7,150,A,7,3.5,E,8,0.08,F,8,0.18,F,8,0,1,D,9,0,C,8,292.6243614
1/3/2005,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,22,A,7,20,A,7,88,A,7,1013,A,7,130,A,7,5.7,A,7,12900,B,7,150,A,7,3.5,E,8,0.08,F,8,0.18,F,8,3,1,D,9,5,C,8,292.8243994
1/3/2005,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,22,A,7,20,A,7,88,A,7,1013,A,7,140,A,7,6.7,A,7,12900,B,7,210,A,7,3.5,E,8,0.08,F,8,0.18,F,8,0,1,D,9,5,C,8,293.1114427
1/4/2005,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,22,A,7,20,A,7,88,A,7,1013,A,7,130,A,7,6.7,A,7,12900,B,7,180,A,7,3.5,E,8,0.08,F,8,0.18,F,8,0,1,D,9,5,C,8,293.2386117
1/4/2005,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,22,A,7,21,A,7,94,A,7,1012,A,7,130,A,7,5.7,A,7,11300,B,7,150,A,7,3.4,E,8,0.08,F,8,0.18,F,8,0,1,D,9,5,C,8,293.2955926
1/4/2005,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,22,A,7,20,A,7,88,A,7,1012,A,7,130,A,7,4.6,A,7,9700,B,7,330,A,7,3.4,E,8,0.08,F,8,0.18,F,8,0,1,D,9,5,C,8,293.3212601
1/4/2005,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,9,E,9,21,A,7,20,A,7,94,A,7,1011,A,7,120,A,7,5.7,A,7,11300,B,7,1170,A,7,3.3,E,8,0.08,F,8,0.18,F,8,0,1,D,9,5,C,8,293.0029289
1/4/2005,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,21,A,7,20,A,7,94,A,7,1011,A,7,130,A,7,4.6,A,7,11300,B,7,120,A,7,3.2,E,8,0.08,F,8,0.18,F,8,0,1,D,9,5,C,8,292.6583825
1/4/2005,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,21,A,7,20,A,7,94,A,7,1011,A,7,130,A,7,4.6,A,7,12900,B,7,150,A,7,3.2,E,8,0.08,F,8,0.18,F,8,0,1,D,9,5,C,8,292.4967238
1/4/2005,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,22,A,7,20,A,7,88,A,7,1011,A,7,130,A,7,3.6,A,7,14500,B,7,180,A,7,3.1,E,8,0.08,F,8,0.18,F,8,0,1,D,9,5,C,8,292.7680286
1/4/2005,8:00,45,814,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,10,E,9,10,E,9,22,A,7,20,A,7,88,A,7,1011,A,7,140,A,7,3.1,A,7,12900,B,7,360,A,7,3.1,E,8,0.08,F,8,0.18,F,8,0,1,D,9,5,C,8,293.0866894
