724580,CONCORDIA BLOSSER MUNI AP,KS,-6,39.55,-97.65,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2004,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,4,E,9,-1.1,A,7,-4.4,A,7,76,A,7,961,A,7,80,A,7,1.5,A,7,16000,B,7,77777,A,7,0.9,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,271.9
1/1/2004,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,4,E,9,0,A,7,-3.9,A,7,72,A,7,960,A,7,70,A,7,2.1,A,7,16000,B,7,77777,A,7,1,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,271.5727255
1/1/2004,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,4,E,9,0,A,7,-3.9,A,7,72,A,7,959,A,7,100,A,7,2.1,A,7,16000,B,7,77777,A,7,1,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,271.6408168
1/1/2004,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,3,E,9,2.2,A,7,-1.1,A,7,78,A,7,959,A,7,120,A,7,2.6,A,7,16000,B,7,77777,A,7,1,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,272.4248318
1/1/2004,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,4,E,9,4.4,A,7,1.7,A,7,83,A,7,959,A,7,200,A,7,2.1,A,7,16000,B,7,77777,A,7,1,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,274.0031268
1/1/2004,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,4,E,9,5,A,7,2.2,A,7,82,A,7,958,A,7,190,A,7,5.2,A,7,16000,B,7,77777,A,7,1,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,275.3382522
1/1/2004,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,3,E,9,3.9,A,7,1.7,A,7,86,A,7,958,A,7,200,A,7,2.1,A,7,16000,B,7,77777,A,7,0.9,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,275.6638286
1/1/2004,8:00,2,177,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,5,E,9,5,E,9,4.4,A,7,2.2,A,7,86,A,7,959,A,7,210,A,7,4.1,A,7,16000,B,7,77777,A,7,0.8,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,275.7648112
1/1/2004,9:00,138,1415,29,2,9,0,2,21,29,2,9,33,2,9,0,2,21,33,2,9,99,2,25,4,E,9,4,E,9,5,A,7,1.7,A,7,79,A,7,960,A,7,230,A,7,5.2,A,7,16000,B,7,77777,A,7,0.8,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,276.0073564
1/1/2004,10:00,345,1415,233,2,9,660,2,21,71,2,9,237,2,9,539,2,21,105,2,9,126,2,25,6,E,9,5,E,9,3.9,A,7,-2.2,A,7,63,A,7,961,A,7,250,A,7,6.2,A,7,16000,B,7,77777,A,7,0.7,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,277.9064672
1/1/2004,11:00,507,1415,352,2,9,759,2,21,78,2,9,367,2,9,706,2,21,113,2,9,152,2,25,2,E,9,2,E,9,2.8,A,7,-4.4,A,7,57,A,7,962,A,7,270,A,7,5.2,A,7,16000,B,7,77777,A,7,0.7,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,277.7793441
1/1/2004,12:00,611,1415,427,2,9,783,2,21,87,2,9,438,2,9,747,2,21,114,2,9,168,2,25,0,E,9,0,E,9,5,A,7,-4.4,A,7,48,A,7,961,A,7,250,A,7,3.6,A,7,16000,B,7,77777,A,7,0.7,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,279.8375163
1/1/2004,13:00,650,1415,459,2,9,793,2,21,93,2,9,471,2,9,764,2,21,119,2,9,181,2,25,0,E,9,0,E,9,6.7,A,7,-3.9,A,7,45,A,7,961,A,7,260,A,7,4.1,A,7,16000,B,7,77777,A,7,0.7,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,283.0143767
1/1/2004,14:00,620,1415,449,2,9,852,2,21,74,2,9,470,2,9,822,2,21,108,2,9,155,2,25,0,E,9,0,E,9,8.9,A,7,-4.4,A,7,37,A,7,960,A,7,240,A,7,4.6,A,7,16000,B,7,77777,A,7,0.6,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,286.5708477
1/1/2004,15:00,525,1415,367,2,9,811,2,21,65,2,9,382,2,9,760,2,21,99,2,9,132,2,25,0,E,9,0,E,9,10,A,7,-4.4,A,7,34,A,7,960,A,7,210,A,7,3.6,A,7,16000,B,7,77777,A,7,0.6,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,289.1432093
1/1/2004,16:00,370,1415,235,2,9,713,2,21,47,2,9,242,2,9,615,2,21,80,2,9,94,2,25,0,E,9,0,E,9,10.6,A,7,-4.4,A,7,33,A,7,960,A,7,220,A,7,3.6,A,7,16000,B,7,77777,A,7,0.6,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,290.0055281
1/1/2004,17:00,168,1415,84,2,9,454,2,21,30,2,9,83,2,9,295,2,21,48,2,9,52,2,25,0,E,9,0,E,9,9.4,A,7,-4.4,A,7,36,A,7,960,A,7,220,A,7,2.1,A,7,16000,B,7,77777,A,7,0.5,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,288.1923349
1/1/2004,18:00,7,366,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,0,E,9,0,A,7,5.6,A,7,-5,A,7,44,A,7,960,A,7,140,A,7,1.5,A,7,16000,B,7,77777,A,7,0.4,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,282.6908149
1/1/2004,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,5,A,7,-4.4,A,7,48,A,7,960,A,7,200,A,7,2.1,A,7,16000,B,7,77777,A,7,0.5,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,278.5561746
1/1/2004,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,B,8,3,B,8,6.7,A,7,-4.4,A,7,43,A,7,960,A,7,180,A,7,5.2,A,7,16000,B,7,77777,A,7,0.5,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,278.0239084
1/1/2004,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,6,E,9,5.6,A,7,-4.4,A,7,46,A,7,960,A,7,170,A,7,4.1,A,7,16000,B,7,77777,A,7,0.5,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,277.8186037
1/1/2004,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,4.4,A,7,-4.4,A,7,51,A,7,960,A,7,0,A,7,0,A,7,16000,B,7,77777,A,7,0.6,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,276.8608245
1/1/2004,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,7,E,9,-1.1,A,7,-5,A,7,72,A,7,958,A,7,90,A,7,3.1,A,7,16000,B,7,77777,A,7,0.7,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,274.2380651
1/1/2004,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,4,E,9,-0.6,A,7,-5,A,7,69,A,7,957,A,7,110,A,7,2.1,A,7,16000,B,7,77777,A,7,0.7,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,272.2661698
1/2/2004,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,4,E,9,0,A,7,-4.4,A,7,69,A,7,955,A,7,110,A,7,2.6,A,7,16000,B,7,77777,A,7,0.9,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,271.8751905
1/2/2004,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,4,E,9,0.6,A,7,-3.3,A,7,73,A,7,954,A,7,80,A,7,2.6,A,7,16000,B,7,77777,A,7,1,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,271.9807171
1/2/2004,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,7,E,9,0,A,7,-2.2,A,7,83,A,7,952,A,7,60,A,7,2.1,A,7,16000,B,7,77777,A,7,1.2,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,271.9520864
1/2/2004,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,6.7,A,7,5,A,7,89,A,7,952,A,7,160,A,7,7.2,A,7,16000,B,7,77777,A,7,1.2,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,274.2491384
1/2/2004,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,4,E,9,7.8,A,7,5,A,7,82,A,7,951,A,7,180,A,7,6.2,A,7,16000,B,7,77777,A,7,1.3,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,276.9750334
1/2/2004,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,7,E,9,7.8,A,7,4.4,A,7,79,A,7,950,A,7,190,A,7,7.2,A,7,16000,B,7,77777,A,7,1.3,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,278.3163675
1/2/2004,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,7,E,9,6.7,A,7,3.3,A,7,79,A,7,950,A,7,200,A,7,7.2,A,7,16000,B,7,77777,A,7,1.2,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,278.5237087
1/2/2004,8:00,1,177,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,5,E,9,6.1,A,7,1.1,A,7,70,A,7,950,A,7,230,A,7,6.7,A,7,16000,B,7,77777,A,7,1.2,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,279.427309
1/2/2004,9:00,137,1415,44,2,9,0,2,21,44,2,9,48,2,9,0,2,21,48,2,9,129,2,25,8,E,9,6,E,9,5.6,A,7,-0.6,A,7,64,A,7,951,A,7,250,A,7,5.7,A,7,16000,B,7,77777,A,7,1.1,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,277.3701825
1/2/2004,10:00,345,1415,166,2,9,201,2,21,116,2,9,171,2,9,166,2,21,131,2,9,239,2,25,2,E,9,2,E,9,5.6,A,7,-1.1,A,7,61,A,7,953,A,7,250,A,7,5.2,A,7,16000,B,7,77777,A,7,1.1,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,277.2497869
1/2/2004,11:00,508,1415,365,2,9,679,2,21,120,2,9,370,2,9,616,2,21,147,2,9,215,2,25,1,E,9,1,E,9,8.3,A,7,-2.2,A,7,46,A,7,954,A,7,260,A,7,6.2,A,7,16000,B,7,77777,A,7,1.1,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,279.3316772
1/2/2004,12:00,612,1415,420,2,9,710,2,21,112,2,9,436,2,9,681,2,21,140,2,9,222,2,25,2,E,9,2,E,9,10,A,7,-1.7,A,7,43,A,7,953,A,7,260,A,7,3.6,A,7,16000,B,7,77777,A,7,1.1,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,283.3948305
1/2/2004,13:00,652,1415,483,2,9,739,2,21,141,2,9,495,2,9,710,2,21,167,2,9,276,2,25,6,E,9,4,E,9,11.7,A,7,-1.7,A,7,39,A,7,953,A,7,240,A,7,4.1,A,7,16000,B,7,77777,A,7,1.1,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,286.714074
1/2/2004,14:00,623,1415,391,2,9,506,2,21,167,2,9,406,2,9,495,2,21,188,2,9,341,2,25,8,E,9,8,E,9,12.8,A,7,-1.1,A,7,38,A,7,953,A,7,240,A,7,5.2,A,7,16000,B,7,77777,A,7,1.1,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,287.6952771
1/2/2004,15:00,528,1415,200,2,9,94,2,21,165,2,9,219,2,9,90,2,21,186,2,9,445,2,25,10,E,9,6,E,9,13.9,A,7,-1.1,A,7,35,A,7,954,A,7,260,A,7,5.2,A,7,16000,B,7,77777,A,7,1,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,285.37974
1/2/2004,16:00,373,1415,87,2,9,0,2,21,87,2,9,98,2,9,0,2,21,98,2,9,318,2,25,10,E,9,4,E,9,12.8,A,7,-0.6,A,7,39,A,7,954,A,7,240,A,7,3.1,A,7,16000,B,7,77777,A,7,1,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,284.7459439
1/2/2004,17:00,171,1415,38,2,9,15,2,21,37,2,9,43,2,9,10,2,21,41,2,9,91,2,25,9,E,9,5,E,9,10.6,A,7,-0.6,A,7,46,A,7,954,A,7,210,A,7,4.6,A,7,16000,B,7,77777,A,7,1,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,283.1187593
1/2/2004,18:00,8,389,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,0,E,9,0,A,7,11.1,A,7,-1.7,A,7,40,A,7,955,A,7,220,A,7,4.1,A,7,16000,B,7,77777,A,7,1,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,282.7466001
1/2/2004,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,4,E,9,10,A,7,-1.7,A,7,43,A,7,956,A,7,250,A,7,3.6,A,7,16000,B,7,77777,A,7,1,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,282.3397599
1/2/2004,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,5,E,9,10,A,7,-2.8,A,7,39,A,7,956,A,7,250,A,7,3.1,A,7,16000,B,7,77777,A,7,1,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,281.9297728
1/2/2004,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,7.8,A,7,-2.2,A,7,48,A,7,957,A,7,310,A,7,1.5,A,7,16000,B,7,77777,A,7,1,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,280.7313244
1/2/2004,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,4,E,9,6.7,A,7,-3.9,A,7,45,A,7,958,A,7,10,A,7,3.6,A,7,16000,B,7,77777,A,7,1.1,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,279.0184845
1/2/2004,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,5.6,A,7,-3.9,A,7,49,A,7,958,A,7,10,A,7,5.2,A,7,16000,B,7,77777,A,7,1.1,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,277.7530542
1/2/2004,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,4,E,9,4.4,A,7,-4.4,A,7,51,A,7,959,A,7,20,A,7,6.7,A,7,16000,B,7,77777,A,7,1.2,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,276.8579253
1/3/2004,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,6,E,9,2.8,A,7,-5,A,7,54,A,7,958,A,7,10,A,7,7.2,A,7,16000,B,7,77777,A,7,1.2,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,275.7556249
1/3/2004,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,7,E,9,1.7,A,7,-5.6,A,7,55,A,7,959,A,7,10,A,7,5.2,A,7,16000,B,7,3658,A,7,1.2,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,273.9730915
1/3/2004,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,7,E,9,0,A,7,-6.7,A,7,57,A,7,959,A,7,10,A,7,5.7,A,7,16000,B,7,77777,A,7,1.2,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,273.1600103
1/3/2004,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,5,E,9,0,A,7,-7.2,A,7,54,A,7,959,A,7,20,A,7,5.7,A,7,16000,B,7,77777,A,7,1.3,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,272.1041049
1/3/2004,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,5,E,9,-1.1,A,7,-8.9,A,7,51,A,7,959,A,7,20,A,7,7.2,A,7,16000,B,7,77777,A,7,1.3,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,271.2844936
1/3/2004,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,6,E,9,-2.2,A,7,-9.4,A,7,54,A,7,961,A,7,10,A,7,10.3,A,7,16000,B,7,77777,A,7,1.3,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,272.1924762
1/3/2004,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,5,E,9,-3.3,A,7,-10,A,7,56,A,7,960,A,7,10,A,7,6.7,A,7,16000,B,7,3658,A,7,1.3,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,269.2969007
1/3/2004,8:00,1,177,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,9,E,9,4,E,9,-3.9,A,7,-11.1,A,7,53,A,7,961,A,7,10,A,7,7.2,A,7,16000,B,7,77777,A,7,1.3,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,268.4620229
1/3/2004,9:00,137,1415,15,2,9,0,2,21,15,2,9,18,2,9,0,2,21,18,2,9,58,2,25,9,E,9,4,E,9,-3.9,A,7,-11.7,A,7,51,A,7,962,A,7,20,A,7,7.7,A,7,16000,B,7,77777,A,7,1.3,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,269.496981
1/3/2004,10:00,345,1415,68,2,9,0,2,21,68,2,9,78,2,9,0,2,21,78,2,9,257,2,25,9,E,9,4,E,9,-3.9,A,7,-11.7,A,7,51,A,7,962,A,7,20,A,7,7.7,A,7,16000,B,7,77777,A,7,1.3,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,267.541398
1/3/2004,11:00,509,1415,126,2,9,0,2,21,126,2,9,143,2,9,0,2,21,143,2,9,481,2,25,10,E,9,10,E,9,-3.3,A,7,-11.1,A,7,51,A,7,962,A,7,20,A,7,7.2,A,7,16000,B,7,2134,A,7,1.3,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,267.3295798
1/3/2004,12:00,614,1415,69,2,9,0,2,21,69,2,9,84,2,9,0,2,21,84,2,9,319,2,25,10,E,9,10,E,9,-3.3,A,7,-11.1,A,7,51,A,7,963,A,7,10,A,7,5.7,A,7,16000,B,7,2134,A,7,1.3,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,267.4348924
1/3/2004,13:00,654,1415,79,2,9,0,2,21,79,2,9,96,2,9,0,2,21,96,2,9,367,2,25,10,E,9,10,E,9,-2.8,A,7,-11.7,A,7,46,A,7,961,A,7,20,A,7,6.2,A,7,16000,B,7,2134,A,7,1.3,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,267.7332901
1/3/2004,14:00,625,1415,76,2,9,0,2,21,76,2,9,92,2,9,0,2,21,92,2,9,350,2,25,10,E,9,10,E,9,-2.8,A,7,-12.2,A,7,44,A,7,960,A,7,20,A,7,7.2,A,7,16000,B,7,1981,A,7,1.3,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,267.956264
1/3/2004,15:00,531,1415,139,2,9,6,2,21,137,2,9,158,2,9,4,2,21,156,2,9,521,2,25,10,E,9,10,E,9,-2.8,A,7,-12.2,A,7,44,A,7,960,A,7,30,A,7,7.7,A,7,16000,B,7,1981,A,7,1.3,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,267.885635
1/3/2004,16:00,376,1415,92,2,9,0,2,21,92,2,9,103,2,9,0,2,21,103,2,9,332,2,25,10,E,9,10,E,9,-2.8,A,7,-11.7,A,7,46,A,7,961,A,7,40,A,7,7.7,A,7,16000,B,7,1981,A,7,1.3,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,267.8772587
1/3/2004,17:00,174,1415,27,2,9,0,2,21,27,2,9,31,2,9,0,2,21,31,2,9,100,2,25,10,E,9,10,E,9,-3.9,A,7,-10,A,7,59,A,7,961,A,7,40,A,7,6.2,A,7,16000,B,7,1829,A,7,1.3,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,267.7972417
1/3/2004,18:00,9,413,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,A,7,-4.4,A,7,-10.6,A,7,58,A,7,963,A,7,30,A,7,6.7,A,7,16000,B,7,1829,A,7,1.3,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,267.6166392
1/3/2004,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-5,A,7,-11.7,A,7,56,A,7,962,A,7,30,A,7,7.2,A,7,16000,B,7,610,A,7,1.3,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,268.2394639
1/3/2004,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-5,A,7,-11.7,A,7,56,A,7,962,A,7,20,A,7,8.8,A,7,16000,B,7,610,A,7,1.3,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,268.8483059
1/3/2004,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-5.6,A,7,-11.7,A,7,59,A,7,961,A,7,40,A,7,7.2,A,7,16000,B,7,610,A,7,1.3,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,265.850042
1/3/2004,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-5.6,A,7,-10.6,A,7,65,A,7,961,A,7,40,A,7,8.8,A,7,16000,B,7,610,A,7,1.3,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,266.0243349
1/3/2004,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-5.6,A,7,-10,A,7,68,A,7,963,A,7,30,A,7,7.2,A,7,16000,B,7,549,A,7,1.3,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,266.1078046
1/3/2004,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-6.1,A,7,-9.4,A,7,75,A,7,962,A,7,30,A,7,8.8,A,7,16000,B,7,427,A,7,1.3,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,267.7571502
1/4/2004,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-6.1,A,7,-8.9,A,7,78,A,7,961,A,7,30,A,7,7.2,A,7,16000,B,7,366,A,7,1.3,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,265.8495183
1/4/2004,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-6.7,A,7,-8.3,A,7,87,A,7,961,A,7,30,A,7,8.8,A,7,1600,B,7,671,A,7,1.4,E,8,0.057,F,8,0.2,F,8,0,1,D,9,0,C,8,266.8529885
1/4/2004,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-7.2,A,7,-8.9,A,7,86,A,7,961,A,7,20,A,7,5.2,A,7,1200,B,7,91,A,7,1.4,E,8,0.057,F,8,0.2,F,8,0,1,D,9,10,C,8,265.4798629
1/4/2004,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-7.2,A,7,-9.4,A,7,82,A,7,961,A,7,10,A,7,5.7,A,7,2800,B,7,914,A,7,1.3,E,8,0.057,F,8,0.2,F,8,0,1,D,9,45,C,8,265.4616503
1/4/2004,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-7.8,A,7,-10,A,7,82,A,7,961,A,7,10,A,7,5.2,A,7,4000,B,7,1036,A,7,1.2,E,8,0.057,F,8,0.2,F,8,0,1,D,9,10,C,8,264.8358194
1/4/2004,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-7.8,A,7,-10,A,7,82,A,7,963,A,7,10,A,7,6.2,A,7,16000,B,7,975,A,7,1.1,E,8,0.057,F,8,0.2,F,8,0,1,D,9,10,C,8,264.7548952
