725440,MOLINE QUAD CITY INTL AP,IL,-6,41.467,-90.517,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2003,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,-3.3,A,7,-9.4,A,7,59,A,7,994,A,7,50,A,7,3.6,A,7,16000,B,7,77777,A,7,0.6,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,269.7
1/1/2003,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,7,E,9,-3.3,A,7,-8.3,A,7,65,A,7,994,A,7,50,A,7,3.6,A,7,16000,B,7,77777,A,7,0.6,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,269.0146134
1/1/2003,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,5,E,9,-2.8,A,7,-9.4,A,7,57,A,7,994,A,7,60,A,7,5.2,A,7,16000,B,7,77777,A,7,0.6,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,268.8865763
1/1/2003,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,5,E,9,-3.3,A,7,-10,A,7,56,A,7,994,A,7,80,A,7,5.2,A,7,16000,B,7,77777,A,7,0.6,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,268.7601391
1/1/2003,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,-3.9,A,7,-10,A,7,59,A,7,994,A,7,70,A,7,5.2,A,7,16000,B,7,77777,A,7,0.6,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,268.4244344
1/1/2003,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-4.4,A,7,-10,A,7,61,A,7,995,A,7,70,A,7,5.2,A,7,16000,B,7,77777,A,7,0.6,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,268.5182508
1/1/2003,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,-4.4,A,7,-10,A,7,61,A,7,994,A,7,60,A,7,5.7,A,7,16000,B,7,77777,A,7,0.6,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,268.0502934
1/1/2003,8:00,26,696,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,0,E,9,0,E,9,-4.4,A,7,-8.9,A,7,68,A,7,995,A,7,70,A,7,4.6,A,7,16000,B,7,77777,A,7,0.6,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,267.7110604
1/1/2003,9:00,210,1415,95,2,9,222,2,21,62,2,9,99,2,9,140,2,21,78,2,9,120,2,25,0,E,9,0,E,9,-2.8,A,7,-7.8,A,7,65,A,7,995,A,7,60,A,7,5.2,A,7,16000,B,7,77777,A,7,0.6,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,268.4215267
1/1/2003,10:00,393,1415,247,2,9,493,2,21,110,2,9,254,2,9,423,2,21,136,2,9,209,2,25,1,E,9,1,E,9,-1.1,A,7,-6.7,A,7,62,A,7,996,A,7,60,A,7,5.2,A,7,16000,B,7,77777,A,7,0.6,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,270.0271587
1/1/2003,11:00,525,1415,317,2,9,429,2,21,157,2,9,324,2,9,402,2,21,174,2,9,312,2,25,4,E,9,4,E,9,0.6,A,7,-5.6,A,7,60,A,7,996,A,7,60,A,7,6.2,A,7,16000,B,7,77777,A,7,0.7,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,271.9135621
1/1/2003,12:00,596,1415,401,2,9,550,2,21,168,2,9,414,2,9,533,2,21,189,2,9,341,2,25,6,E,9,6,E,9,0.6,A,7,-6.1,A,7,57,A,7,996,A,7,40,A,7,5.2,A,7,16000,B,7,77777,A,7,0.7,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,274.3278701
1/1/2003,13:00,603,1415,220,2,9,66,2,21,192,2,9,241,2,9,65,2,21,214,2,9,536,2,25,0,E,9,0,A,7,1.1,A,7,-6.1,A,7,55,A,7,995,A,7,40,A,7,6.2,A,7,16000,B,7,77777,A,7,0.7,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,274.2857353
1/1/2003,14:00,543,1415,165,2,9,24,2,21,156,2,9,186,2,9,18,2,21,179,2,9,575,2,25,0,E,9,0,A,7,1.1,A,7,-5.6,A,7,58,A,7,995,A,7,30,A,7,5.2,A,7,16000,B,7,77777,A,7,0.7,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,273.0891167
1/1/2003,15:00,422,1415,219,2,9,307,2,21,127,2,9,230,2,9,276,2,21,147,2,9,259,2,25,0,E,9,0,A,7,0.6,A,7,-6.1,A,7,57,A,7,995,A,7,50,A,7,8.2,A,7,16000,B,7,77777,A,7,0.7,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,272.8870974
1/1/2003,16:00,248,1415,82,2,9,87,2,21,67,2,9,89,2,9,64,2,21,78,2,9,143,2,25,9,E,9,9,A,7,-0.6,A,7,-6.1,A,7,63,A,7,996,A,7,40,A,7,7.7,A,7,16000,B,7,732,A,7,0.6,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,274.683162
1/1/2003,17:00,50,979,6,2,9,4,2,21,6,2,9,7,2,9,2,2,21,7,2,9,16,2,25,10,E,9,10,E,9,-1.1,A,7,-6.1,A,7,66,A,7,996,A,7,50,A,7,6.2,A,7,16000,B,7,732,A,7,0.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,272.5290069
1/1/2003,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-1.7,A,7,-6.1,A,7,69,A,7,997,A,7,50,A,7,6.2,A,7,16000,B,7,732,A,7,0.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,271.1574768
1/1/2003,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1.7,A,7,-6.1,A,7,69,A,7,997,A,7,50,A,7,5.2,A,7,16000,B,7,732,A,7,0.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,270.5090093
1/1/2003,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-1.7,A,7,-6.7,A,7,65,A,7,997,A,7,40,A,7,6.7,A,7,16000,B,7,732,A,7,0.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,270.2657455
1/1/2003,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1.7,A,7,-6.1,A,7,69,A,7,997,A,7,50,A,7,6.2,A,7,16000,B,7,732,A,7,0.6,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,270.1445736
1/1/2003,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.2,A,7,-6.1,A,7,72,A,7,996,A,7,50,A,7,6.7,A,7,16000,B,7,671,A,7,0.7,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,269.9304066
1/1/2003,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.2,A,7,-6.1,A,7,72,A,7,996,A,7,50,A,7,7.7,A,7,16000,B,7,610,A,7,0.7,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,269.7304209
1/1/2003,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.2,A,7,-6.1,A,7,72,A,7,997,A,7,40,A,7,3.6,A,7,16000,B,7,671,A,7,0.8,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,269.6311283
1/2/2003,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.2,A,7,-7.2,A,7,65,A,7,996,A,7,40,A,7,5.7,A,7,16000,B,7,610,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,269.5825115
1/2/2003,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.2,A,7,-7.2,A,7,65,A,7,996,A,7,50,A,7,3.1,A,7,16000,B,7,732,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,269.5588466
1/2/2003,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.2,A,7,-7.8,A,7,62,A,7,996,A,7,30,A,7,3.1,A,7,16000,B,7,732,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,269.5473594
1/2/2003,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.8,A,7,-7.8,A,7,65,A,7,996,A,7,20,A,7,3.1,A,7,16000,B,7,732,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,269.3553872
1/2/2003,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.8,A,7,-7.8,A,7,65,A,7,996,A,7,30,A,7,2.6,A,7,16000,B,7,762,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,269.1477805
1/2/2003,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.2,A,7,-6.1,A,7,72,A,7,996,A,7,30,A,7,5.7,A,7,16000,B,7,762,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,269.236559
1/2/2003,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.2,A,7,-6.1,A,7,72,A,7,995,A,7,40,A,7,5.7,A,7,16000,B,7,762,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,269.3928095
1/2/2003,8:00,26,696,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,-1.7,A,7,-6.1,A,7,69,A,7,995,A,7,40,A,7,5.2,A,7,16000,B,7,884,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,269.6311425
1/2/2003,9:00,210,1415,38,2,9,0,2,21,38,2,9,43,2,9,0,2,21,43,2,9,138,2,25,10,E,9,10,E,9,-2,A,7,-6,A,7,71,A,7,996,A,7,30,A,7,6.2,A,7,14500,B,7,930,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,269.6071931
1/2/2003,10:00,393,1415,42,2,9,0,2,21,42,2,9,50,2,9,0,2,21,50,2,9,180,2,25,10,E,9,10,E,9,-2.2,A,7,-4.4,A,7,83,A,7,997,A,7,20,A,7,3.6,A,7,2800,B,7,640,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,269.3809632
1/2/2003,11:00,526,1415,110,2,9,0,2,21,110,2,9,127,2,9,0,2,21,127,2,9,443,2,25,10,E,9,10,E,9,-2.2,A,7,-4.4,A,7,83,A,7,996,A,7,30,A,7,4.6,A,7,2800,B,7,488,A,7,1,E,8,0,F,8,0,F,8,0,1,D,9,10,C,8,268.9884069
1/2/2003,12:00,598,1415,136,2,9,0,2,21,136,2,9,156,2,9,0,2,21,156,2,9,552,2,25,10,E,9,10,E,9,-1.1,A,7,-5.6,A,7,68,A,7,996,A,7,30,A,7,6.2,A,7,16000,B,7,1189,A,7,1,E,8,0,F,8,0,F,8,0,1,D,9,5,C,8,268.9606692
1/2/2003,13:00,605,1415,113,2,9,0,2,21,113,2,9,132,2,9,0,2,21,132,2,9,481,2,25,10,E,9,10,E,9,-1.1,A,7,-6.1,A,7,66,A,7,995,A,7,20,A,7,6.2,A,7,16000,B,7,732,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,269.197145
1/2/2003,14:00,546,1415,148,2,9,6,2,21,146,2,9,168,2,9,4,2,21,166,2,9,552,2,25,10,E,9,10,E,9,-1.1,A,7,-6.1,A,7,66,A,7,995,A,7,20,A,7,5.7,A,7,16000,B,7,1219,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,269.2631355
1/2/2003,15:00,425,1415,86,2,9,0,2,21,86,2,9,99,2,9,0,2,21,99,2,9,334,2,25,10,E,9,10,E,9,-0.6,A,7,-6.7,A,7,60,A,7,995,A,7,20,A,7,6.7,A,7,16000,B,7,1189,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,269.6011431
1/2/2003,16:00,251,1415,106,2,9,175,2,21,74,2,9,110,2,9,123,2,21,88,2,9,144,2,25,10,E,9,10,E,9,-1.1,A,7,-6.1,A,7,66,A,7,996,A,7,10,A,7,5.2,A,7,14400,B,7,1097,A,7,1,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,270.8970906
1/2/2003,17:00,52,1002,6,2,9,0,2,21,6,2,9,7,2,9,0,2,21,7,2,9,24,2,25,10,E,9,10,E,9,-2,A,7,-6,A,7,71,A,7,996,A,7,20,A,7,5.7,A,7,16100,B,7,1110,A,7,1,E,8,0,F,8,0,F,8,0,1,D,9,5,C,8,270.3741438
1/2/2003,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-1.7,A,7,-6.1,A,7,69,A,7,997,A,7,360,A,7,5.2,A,7,16000,B,7,1189,A,7,1,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,270.1311294
1/2/2003,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1.7,A,7,-6.7,A,7,65,A,7,996,A,7,360,A,7,4.1,A,7,16000,B,7,2743,A,7,1,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,270.0785779
1/2/2003,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1.7,A,7,-6.7,A,7,65,A,7,997,A,7,10,A,7,3.6,A,7,16000,B,7,975,A,7,1,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,270.0530625
1/2/2003,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-2.2,A,7,-7.2,A,7,65,A,7,996,A,7,10,A,7,4.6,A,7,16000,B,7,1158,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,269.8845532
1/2/2003,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,B,8,9,B,8,-2.2,A,7,-6.7,A,7,68,A,7,996,A,7,10,A,7,3.1,A,7,16000,B,7,1036,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,269.7075231
1/2/2003,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1.7,A,7,-6.7,A,7,65,A,7,997,A,7,360,A,7,4.1,A,7,16000,B,7,1036,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,269.7801398
1/2/2003,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1.7,A,7,-6.7,A,7,65,A,7,997,A,7,340,A,7,3.6,A,7,16000,B,7,975,A,7,0.8,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,269.909747
1/3/2003,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.2,A,7,-8.3,A,7,59,A,7,997,A,7,360,A,7,4.1,A,7,16000,B,7,1097,A,7,0.7,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,269.8135084
1/3/2003,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.2,A,7,-7.8,A,7,62,A,7,997,A,7,360,A,7,3.6,A,7,16000,B,7,914,A,7,0.7,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,269.6722349
1/3/2003,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-3.3,A,7,-8.3,A,7,65,A,7,996,A,7,350,A,7,3.1,A,7,16000,B,7,914,A,7,0.6,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,269.2766942
1/3/2003,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,-3.9,A,7,-8.3,A,7,68,A,7,997,A,7,320,A,7,2.6,A,7,16000,B,7,77777,A,7,0.6,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,268.7570433
1/3/2003,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-5,A,7,-8.3,A,7,75,A,7,997,A,7,320,A,7,2.6,A,7,16000,B,7,77777,A,7,0.6,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,268.005079
1/3/2003,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-5,A,7,-8.3,A,7,75,A,7,998,A,7,310,A,7,2.6,A,7,16000,B,7,77777,A,7,0.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,267.3907607
1/3/2003,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-6.1,A,7,-8.9,A,7,78,A,7,998,A,7,340,B,8,2.1,A,7,16000,B,7,77777,A,7,0.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,266.7206093
1/3/2003,8:00,26,696,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,0,E,9,0,E,9,-6.1,A,7,-8.9,A,7,78,A,7,998,A,7,0,A,7,0,A,7,16000,B,7,77777,A,7,0.4,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,266.2233336
1/3/2003,9:00,210,1415,124,2,9,480,2,21,52,2,9,124,2,9,316,2,21,76,2,9,87,2,25,2,E,9,2,E,9,-5,A,7,-8.3,A,7,75,A,7,998,A,7,0,A,7,0,A,7,16000,B,7,77777,A,7,0.4,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,267.4124263
1/3/2003,10:00,394,1415,261,2,9,689,2,21,69,2,9,270,2,9,594,2,21,104,2,9,128,2,25,0,E,9,0,E,9,-2.2,A,7,-8.9,A,7,56,A,7,999,A,7,10,A,7,2.6,A,7,16000,B,7,77777,A,7,0.4,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,269.6599208
1/3/2003,11:00,527,1415,356,2,9,661,2,21,108,2,9,364,2,9,611,2,21,136,2,9,202,2,25,0,E,9,0,E,9,-0.6,A,7,-9.4,A,7,47,A,7,998,A,7,20,A,7,2.6,A,7,16000,B,7,77777,A,7,0.4,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,272.2356814
1/3/2003,12:00,600,1415,419,2,9,779,2,21,87,2,9,429,2,9,741,2,21,113,2,9,166,2,25,0,E,9,0,E,9,0,A,7,-9.4,A,7,45,A,7,998,A,7,350,B,8,3.1,A,7,16000,B,7,77777,A,7,0.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,275.2881701
1/3/2003,13:00,607,1415,434,2,9,688,2,21,137,2,9,443,2,9,651,2,21,162,2,9,259,2,25,1,E,9,1,E,9,1.1,A,7,-10,A,7,39,A,7,997,A,7,320,B,8,2.1,A,7,16000,B,7,77777,A,7,0.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,277.8839466
1/3/2003,14:00,548,1415,325,2,9,438,2,21,155,2,9,336,2,9,416,2,21,174,2,9,309,2,25,0,E,9,0,E,9,2.2,A,7,-10,A,7,36,A,7,997,A,7,290,A,7,3.1,A,7,16000,B,7,77777,A,7,0.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,278.4270463
1/3/2003,15:00,428,1415,273,2,9,650,2,21,76,2,9,282,2,9,574,2,21,108,2,9,142,2,25,0,E,9,0,E,9,1.7,A,7,-10.6,A,7,36,A,7,996,A,7,260,A,7,2.1,A,7,16000,B,7,77777,A,7,0.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,279.7046245
1/3/2003,16:00,255,1415,143,2,9,547,2,21,44,2,9,147,2,9,403,2,21,74,2,9,80,2,25,0,E,9,0,E,9,1.7,A,7,-10,A,7,38,A,7,996,A,7,250,A,7,2.6,A,7,16000,B,7,77777,A,7,0.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,280.5755468
1/3/2003,17:00,54,1002,11,2,9,174,2,21,6,2,9,17,2,9,101,2,21,12,2,9,20,2,25,1,E,9,1,E,9,-1.1,A,7,-9.4,A,7,49,A,7,996,A,7,220,A,7,2.6,A,7,16000,B,7,77777,A,7,0.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,277.4978607
1/3/2003,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-3.3,A,7,-9.4,A,7,59,A,7,997,A,7,200,A,7,1.5,A,7,16000,B,7,77777,A,7,0.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,272.9841626
1/3/2003,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,9,E,9,-1.1,A,7,-8.3,A,7,54,A,7,997,A,7,0,A,7,0,A,7,16000,B,7,77777,A,7,0.6,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,270.9178001
1/3/2003,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,9,E,9,-1.7,A,7,-6.1,A,7,69,A,7,997,A,7,210,A,7,3.1,A,7,16000,B,7,3353,A,7,0.6,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,270.5844927
1/3/2003,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.2,A,7,-6.1,A,7,72,A,7,996,A,7,190,A,7,3.1,A,7,14400,B,7,2743,A,7,0.7,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,270.1575524
1/3/2003,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.2,A,7,-6.7,A,7,68,A,7,995,A,7,190,A,7,4.1,A,7,11200,B,7,2438,A,7,0.7,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,269.8454063
1/3/2003,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.2,A,7,-6.7,A,7,68,A,7,995,A,7,230,A,7,3.6,A,7,14400,B,7,2743,A,7,0.7,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,269.6879359
1/3/2003,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-2.8,A,7,-6.7,A,7,72,A,7,995,A,7,210,A,7,2.6,A,7,14400,B,7,2743,A,7,0.7,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,269.4265413
1/4/2003,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-4.4,A,7,-7.8,A,7,75,A,7,994,A,7,170,A,7,2.1,A,7,12800,B,7,77777,A,7,0.7,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,268.6558036
1/4/2003,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,-6.1,A,7,-8.3,A,7,83,A,7,995,A,7,110,A,7,3.1,A,7,11200,B,7,77777,A,7,0.8,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,267.3811823
1/4/2003,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-6.7,A,7,-8.3,A,7,87,A,7,994,A,7,150,A,7,2.1,A,7,11200,B,7,77777,A,7,0.8,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,266.3263441
1/4/2003,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,6,E,9,-6.1,A,7,-8.3,A,7,83,A,7,994,A,7,0,A,7,0,A,7,11200,B,7,77777,A,7,0.8,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,265.8926878
1/4/2003,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,6,E,9,-6.1,A,7,-8.3,A,7,83,A,7,993,A,7,0,A,7,0,A,7,11200,B,7,77777,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,265.7918812
1/4/2003,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,5,E,9,-5.6,A,7,-7.8,A,7,83,A,7,994,A,7,0,A,7,0,A,7,11200,B,7,77777,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,265.9014828
1/4/2003,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,7,E,9,-5.6,A,7,-7.8,A,7,83,A,7,993,A,7,0,A,7,0,A,7,11200,B,7,77777,A,7,1,E,8,0,F,8,0,F,8,0,1,D,9,10,C,8,266.0487037
