726228,ADIRONDACK RGNL,NY,-5,44.383,-74.2,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1998,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-11,E,9,-13,E,9,84,A,7,953,E,9,270,E,9,4.1,E,9,3200,C,8,750,E,9,0.3,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,262
1/1/1998,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-10.6,E,9,-12.5,E,9,84,A,7,953,E,9,270,E,9,6.2,E,9,3200,C,8,1500,E,9,0.3,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,261.5751272
1/1/1998,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-10,E,9,-11,E,9,91,A,7,953,E,9,270,E,9,3.6,E,9,3200,C,8,1290,E,9,0.3,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,261.6033361
1/1/1998,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-9,E,9,-11,E,9,84,A,7,953,E,9,280,E,9,5.7,E,9,3200,C,8,1410,E,9,0.3,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,262.0571913
1/1/1998,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-8.9,E,9,-11.6,E,9,79,A,7,953,E,9,290,E,9,2.6,E,9,3200,C,8,900,E,9,0.3,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,262.4950493
1/1/1998,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-10,E,9,-12,E,9,84,A,7,953,E,9,310,E,9,3.6,E,9,3200,C,8,1050,E,9,0.3,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,262.3805037
1/1/1998,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-11,E,9,-13,E,9,84,A,7,953,E,9,330,E,9,2.1,E,9,3200,C,8,720,E,9,0.3,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,261.8169804
1/1/1998,8:00,17,601,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,-12.3,E,9,-15.3,E,9,76,A,7,953,E,9,350,E,9,2.1,E,9,3200,C,8,660,E,9,0.3,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,260.9167713
1/1/1998,9:00,180,1415,120,2,9,544,2,21,51,2,9,120,2,9,329,2,21,77,2,9,82,2,25,10,E,9,10,E,9,-12,E,9,-16,E,9,69,A,7,953,E,9,10,E,9,3.1,E,9,3200,C,8,660,E,9,0.4,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,260.9074218
1/1/1998,10:00,351,1415,235,2,9,610,2,21,83,2,9,237,2,9,496,2,21,113,2,9,142,2,25,10,E,9,10,E,9,-12,E,9,-15,E,9,76,A,7,953,E,9,30,E,9,1.5,E,9,3200,C,8,600,E,9,0.4,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,261.5687167
1/1/1998,11:00,472,1415,266,2,9,466,2,21,109,2,9,278,2,9,426,2,21,135,2,9,206,2,25,10,E,9,10,E,9,-12,E,9,-15.6,E,9,72,A,7,953,E,9,50,E,9,3.1,E,9,3200,C,8,480,E,9,0.4,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,262.7662309
1/1/1998,12:00,535,1415,308,2,9,514,2,21,113,2,9,327,2,9,487,2,21,142,2,9,216,2,25,10,E,9,10,E,9,-12,E,9,-16,E,9,69,A,7,953,E,9,30,E,9,2.6,E,9,3200,C,8,420,E,9,0.5,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,264.2367547
1/1/1998,13:00,535,1415,331,2,9,490,2,21,145,2,9,343,2,9,463,2,21,167,2,9,286,2,25,10,E,9,10,E,9,-10.9,E,9,-15.7,E,9,65,A,7,953,E,9,50,E,9,2.1,E,9,3200,C,8,630,E,9,0.5,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,265.9285769
1/1/1998,14:00,473,1415,181,2,9,118,2,21,141,2,9,196,2,9,111,2,21,159,2,9,320,2,25,10,E,9,10,E,9,-11,E,9,-16,E,9,63,A,7,953,E,9,10,E,9,2.1,E,9,3200,C,8,540,E,9,0.5,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,264.8910305
1/1/1998,15:00,353,1415,84,2,9,0,2,21,84,2,9,95,2,9,0,2,21,95,2,9,302,2,25,10,E,9,10,E,9,-11,E,9,-16,E,9,63,A,7,953,E,9,50,E,9,3.6,E,9,3200,C,8,540,E,9,0.6,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,262.6048401
1/1/1998,16:00,184,1415,96,2,9,314,2,21,55,2,9,97,2,9,188,2,21,73,2,9,102,2,25,10,E,9,10,E,9,-12,E,9,-16,E,9,69,A,7,953,E,9,40,E,9,4.1,E,9,3200,C,8,510,E,9,0.6,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,263.0548487
1/1/1998,17:00,19,625,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,-12.1,E,9,-15.5,E,9,73,A,7,953,E,9,50,E,9,4.1,E,9,3200,C,8,570,E,9,0.6,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,262.5011029
1/1/1998,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,5,E,9,-13,E,9,-16,E,9,76,A,7,953,E,9,60,E,9,5.6,E,9,3200,C,8,77777,E,9,0.7,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,260.8239997
1/1/1998,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-13,E,9,-16,E,9,76,A,7,953,E,9,70,E,9,7.2,E,9,3200,C,8,77777,E,9,0.7,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,259.8906919
1/1/1998,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-13,E,9,-15,E,9,83,A,7,953,E,9,90,E,9,6.7,E,9,3200,C,8,77777,E,9,0.7,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,259.1386886
1/1/1998,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-14,E,9,-16,E,9,83,A,7,953,E,9,90,E,9,7.5,E,9,3200,C,8,77777,E,9,0.7,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,258.4517973
1/1/1998,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-14,E,9,-16,E,9,83,A,7,953,E,9,80,E,9,8.2,E,9,3200,C,8,77777,E,9,0.8,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,259.6527201
1/1/1998,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,-13,E,9,-16,E,9,76,A,7,953,E,9,80,E,9,9.3,E,9,3200,C,8,77777,E,9,0.8,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,257.9452603
1/1/1998,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,4,E,9,-13,E,9,-15,E,9,83,A,7,953,E,9,80,E,9,9.8,E,9,3200,C,8,77777,E,9,0.8,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,258.4351898
1/2/1998,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,6,E,9,-13.8,E,9,-15,E,9,90,A,7,953,E,9,70,E,9,7.7,E,9,3200,C,8,77777,E,9,0.9,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,260.2229419
1/2/1998,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,6,E,9,-15,E,9,-16,E,9,91,A,7,953,E,9,70,E,9,8.7,E,9,3200,C,8,77777,E,9,0.9,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,258.8704989
1/2/1998,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,6,E,9,-14.9,E,9,-15.9,E,9,91,A,7,953,E,9,80,E,9,7.7,E,9,3200,C,8,77777,E,9,0.9,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,257.0371654
1/2/1998,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,-14.8,E,9,-16.1,E,9,89,A,7,953,E,9,80,E,9,6.2,E,9,3200,C,8,77777,E,9,1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,257.0579825
1/2/1998,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,8,E,9,-13.6,E,9,-15.9,E,9,81,A,7,953,E,9,70,E,9,5.7,E,9,3200,C,8,77777,E,9,1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,257.4739958
1/2/1998,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-13.7,E,9,-15.6,E,9,84,A,7,953,E,9,80,E,9,5.7,E,9,3200,C,8,3600,E,9,1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,257.8667662
1/2/1998,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,9,E,9,-14,E,9,-16,E,9,83,A,7,953,E,9,80,E,9,6.7,E,9,3200,C,8,3450,E,9,1.1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,257.9420193
1/2/1998,8:00,17,601,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,-14,E,9,-16,E,9,83,A,7,953,E,9,80,E,9,3.6,E,9,3200,C,8,3300,E,9,1.1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,257.9235318
1/2/1998,9:00,181,1415,20,2,9,0,2,21,20,2,9,24,2,9,0,2,21,24,2,9,78,2,25,10,E,9,10,E,9,-11.8,E,9,-13.4,E,9,87,A,7,953,E,9,80,E,9,4.6,E,9,3200,C,8,2700,E,9,1.1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,258.570759
1/2/1998,10:00,351,1415,43,2,9,0,2,21,43,2,9,51,2,9,0,2,21,51,2,9,178,2,25,10,E,9,10,E,9,-10,E,9,-11,E,9,91,A,7,953,E,9,80,E,9,5.7,E,9,3200,C,8,2400,E,9,1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,259.8086513
1/2/1998,11:00,473,1415,52,2,9,0,2,21,52,2,9,63,2,9,0,2,21,63,2,9,229,2,25,10,E,9,10,E,9,-8,E,9,-10,E,9,84,A,7,953,E,9,90,E,9,5.1,E,9,3200,C,8,2100,E,9,1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,261.3583157
1/2/1998,12:00,536,1415,62,2,9,0,2,21,62,2,9,75,2,9,0,2,21,75,2,9,278,2,25,10,E,9,10,E,9,-6,E,9,-9,E,9,77,A,7,953,E,9,90,E,9,6.2,E,9,3200,C,8,2100,E,9,1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,263.1094792
1/2/1998,13:00,537,1415,59,2,9,0,2,21,59,2,9,71,2,9,0,2,21,71,2,9,266,2,25,10,E,9,10,E,9,-4.4,E,9,-8.7,E,9,69,A,7,953,E,9,90,E,9,5.1,E,9,3200,C,8,690,E,9,1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,264.8378117
1/2/1998,14:00,476,1415,62,2,9,0,2,21,62,2,9,74,2,9,0,2,21,74,2,9,267,2,25,10,E,9,10,E,9,-4,E,9,-9,E,9,65,A,7,953,E,9,70,E,9,6.2,E,9,3200,C,8,690,E,9,1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,266.0335403
1/2/1998,15:00,356,1415,42,2,9,0,2,21,42,2,9,50,2,9,0,2,21,50,2,9,175,2,25,10,E,9,10,E,9,-4,E,9,-9,E,9,65,A,7,953,E,9,100,E,9,5.1,E,9,3200,C,8,630,E,9,1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,266.6940245
1/2/1998,16:00,187,1415,97,2,9,305,2,21,56,2,9,98,2,9,184,2,21,73,2,9,104,2,25,10,E,9,10,E,9,-4,E,9,-8,E,9,71,A,7,953,E,9,80,E,9,6.7,E,9,3200,C,8,510,E,9,1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,269.0050051
1/2/1998,17:00,20,649,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,-4,E,9,-8,E,9,71,A,7,953,E,9,80,E,9,6.2,E,9,3200,C,8,390,E,9,1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,268.9791914
1/2/1998,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-4.2,E,9,-7.5,E,9,75,A,7,953,E,9,70,E,9,5.7,E,9,3200,C,8,390,E,9,1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,268.2403762
1/2/1998,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-4,E,9,-7,E,9,77,A,7,953,E,9,80,E,9,5.1,E,9,3200,C,8,390,E,9,1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,267.964146
1/2/1998,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-4,E,9,-7,E,9,77,A,7,953,E,9,80,E,9,4.6,E,9,3200,C,8,330,E,9,1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,267.8617307
1/2/1998,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-4,E,9,-7,E,9,77,A,7,953,E,9,80,E,9,6.7,E,9,3200,C,8,180,E,9,1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,267.8113307
1/2/1998,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-4,E,9,-7,E,9,77,A,7,953,E,9,90,E,9,5.7,E,9,3200,C,8,420,E,9,1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,267.7866703
1/2/1998,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-4,E,9,-8,E,9,71,A,7,953,E,9,90,E,9,1.5,E,9,3200,C,8,300,E,9,1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,267.7746396
1/2/1998,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-4,E,9,-7,E,9,77,A,7,953,E,9,90,E,9,6.2,E,9,3200,C,8,90,E,9,0.9,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,267.7687786
1/3/1998,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-4,E,9,-7,E,9,77,A,7,953,E,9,90,E,9,6.2,E,9,3200,C,8,90,E,9,0.9,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,267.7659253
1/3/1998,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-4.6,E,9,-7.4,E,9,79,A,7,953,E,9,0,E,9,0,E,9,3200,C,8,120,E,9,0.9,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,267.5790465
1/3/1998,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-5.1,E,9,-6.9,E,9,86,A,7,953,E,9,80,E,9,4.1,E,9,3200,C,8,60,E,9,0.9,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,267.2259669
1/3/1998,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-5.6,E,9,-6.6,E,9,92,A,7,953,E,9,70,E,9,3.6,E,9,3200,C,8,60,E,9,0.9,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,266.8080671
1/3/1998,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-5,E,9,-6,E,9,92,A,7,953,E,9,70,E,9,3.1,E,9,3200,C,8,60,E,9,0.9,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,266.6822964
1/3/1998,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-5,E,9,-6,E,9,92,A,7,953,E,9,70,E,9,3.1,E,9,3200,C,8,360,E,9,0.9,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,266.7313734
1/3/1998,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-5.9,E,9,-6.7,E,9,93,A,7,953,E,9,70,E,9,3.6,E,9,3200,C,8,570,E,9,0.9,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,266.4811007
1/3/1998,8:00,17,601,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,-6.3,E,9,-7.6,E,9,89,A,7,953,E,9,90,E,9,4.1,E,9,3200,C,8,540,E,9,0.9,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,266.0720879
1/3/1998,9:00,181,1415,20,2,9,0,2,21,20,2,9,24,2,9,0,2,21,24,2,9,78,2,25,10,E,9,10,E,9,-5,E,9,-7,E,9,84,A,7,953,E,9,90,E,9,5.1,E,9,3200,C,8,360,E,9,0.9,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,266.1250468
1/3/1998,10:00,352,1415,64,2,9,0,2,21,64,2,9,74,2,9,0,2,21,74,2,9,247,2,25,10,E,9,10,E,9,-4,E,9,-7,E,9,77,A,7,953,E,9,90,E,9,3.6,E,9,3200,C,8,210,E,9,0.9,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,266.542212
1/3/1998,11:00,474,1415,110,2,9,0,2,21,110,2,9,125,2,9,0,2,21,125,2,9,421,2,25,10,E,9,10,E,9,-4,E,9,-7.2,E,9,76,A,7,953,E,9,80,E,9,3.6,E,9,3200,C,8,360,E,9,0.9,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,266.6801875
1/3/1998,12:00,538,1415,62,2,9,0,2,21,62,2,9,75,2,9,0,2,21,75,2,9,278,2,25,10,E,9,9,E,9,-4.1,E,9,-7.3,E,9,76,A,7,953,E,9,90,E,9,4.6,E,9,3200,C,8,300,E,9,1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,266.783637
1/3/1998,13:00,540,1415,59,2,9,0,2,21,59,2,9,71,2,9,0,2,21,71,2,9,266,2,25,10,E,9,10,E,9,-4,E,9,-7,E,9,77,A,7,953,E,9,80,E,9,4.6,E,9,3200,C,8,360,E,9,1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,266.9506393
1/3/1998,14:00,479,1415,51,2,9,0,2,21,51,2,9,62,2,9,0,2,21,62,2,9,226,2,25,10,E,9,10,E,9,-4,E,9,-8,E,9,71,A,7,953,E,9,90,E,9,4.6,E,9,3200,C,8,420,E,9,1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,267.0801519
1/3/1998,15:00,359,1415,42,2,9,0,2,21,42,2,9,50,2,9,0,2,21,50,2,9,175,2,25,10,E,9,10,E,9,-4,E,9,-9,E,9,65,A,7,953,E,9,90,E,9,4.6,E,9,3200,C,8,480,E,9,1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,267.1871792
1/3/1998,16:00,190,1415,98,2,9,300,2,21,57,2,9,99,2,9,183,2,21,74,2,9,106,2,25,10,E,9,9,E,9,-4,E,9,-9,E,9,65,A,7,953,E,9,90,E,9,5.1,E,9,3200,C,8,420,E,9,1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,269.2047108
1/3/1998,17:00,22,672,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,9,E,9,-6.6,E,9,-9.5,E,9,78,A,7,953,E,9,120,E,9,4.1,E,9,3200,C,8,3300,E,9,1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,268.5009483
1/3/1998,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-10,E,9,-11,E,9,91,A,7,953,E,9,90,E,9,4.1,E,9,3200,C,8,3000,E,9,1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,265.6560046
1/3/1998,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-12,E,9,-13,E,9,91,A,7,953,E,9,80,E,9,5.1,E,9,3200,C,8,2700,E,9,1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,263.0921489
1/3/1998,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,E,9,-11,E,9,-12,E,9,91,A,7,953,E,9,80,E,9,4.6,E,9,3200,C,8,3300,E,9,1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,261.8526708
1/3/1998,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,E,9,-13,E,9,-14,E,9,91,A,7,953,E,9,90,E,9,5.1,E,9,3200,C,8,3300,E,9,1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,260.8630341
1/3/1998,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-14.6,E,9,-16.2,E,9,86,A,7,953,E,9,90,E,9,6.2,E,9,3200,C,8,3300,E,9,1.1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,259.4375846
1/3/1998,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-17,E,9,-19,E,9,83,A,7,953,E,9,70,E,9,5.7,E,9,3200,C,8,3000,E,9,1.1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,257.6574469
1/3/1998,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-12,E,9,-13,E,9,91,A,7,953,E,9,80,E,9,5.7,E,9,3200,C,8,90,E,9,1.1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,257.8987398
1/4/1998,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-12,E,9,-13,E,9,91,A,7,953,E,9,80,E,9,5.7,E,9,3200,C,8,90,E,9,1.1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,258.949939
1/4/1998,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-13,E,9,-15,E,9,83,A,7,953,E,9,80,E,9,6.2,E,9,3200,C,8,60,E,9,1.1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,259.1104745
1/4/1998,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-14,E,9,-16,E,9,83,A,7,953,E,9,80,E,9,6.2,E,9,3200,C,8,90,E,9,1.1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,259.8952463
1/4/1998,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-17,E,9,-18,E,9,91,A,7,953,E,9,80,E,9,4.1,E,9,3200,C,8,30,E,9,1.1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,257.9976453
1/4/1998,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-20,E,9,-22,E,9,82,A,7,953,E,9,90,E,9,3.6,E,9,3200,C,8,60,E,9,1.1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,255.5161604
1/4/1998,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-19,E,9,-21,E,9,83,A,7,953,E,9,80,E,9,3.6,E,9,3200,C,8,30,E,9,1.1,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,254.1245813
1/4/1998,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-21,E,9,-23,E,9,82,A,7,953,E,9,90,E,9,3.1,E,9,3200,C,8,510,E,9,1.2,E,8,0.051,F,8,0.51,F,8,0,1,D,9,0,C,8,252.9522032
