725454,WASHINGTON,IA,-6,41.283,-91.667,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1998,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-5,A,7,-8,A,7,77,A,7,986,E,9,180,A,7,8.7,A,7,16100,B,7,77777,A,7,0.7,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,268
1/1/1998,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-4,A,7,-8,A,7,71,A,7,986,E,9,190,A,7,8.2,A,7,16100,B,7,77777,A,7,0.7,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,269.1543406
1/1/1998,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-2,A,7,-6,A,7,71,A,7,986,E,9,200,A,7,8.2,A,7,16100,B,7,77777,A,7,0.7,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,269.681078
1/1/1998,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,5,E,9,-1,A,7,-5,A,7,71,A,7,986,E,9,200,A,7,8.7,A,7,16100,B,7,77777,A,7,0.7,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,270.0388961
1/1/1998,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,3,E,9,-1,A,7,-4,A,7,78,A,7,986,E,9,200,A,7,8.2,A,7,16100,B,7,77777,A,7,0.7,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,270.3978562
1/1/1998,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,4,E,9,1,A,7,-3.7,B,8,68,A,7,986,E,9,210,A,7,8.2,A,7,16100,B,7,77777,A,7,0.7,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,271.252831
1/1/1998,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,4,E,9,2,A,7,-3,A,7,67,A,7,986,E,9,210,A,7,8.2,A,7,16100,B,7,77777,A,7,0.7,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,272.3824468
1/1/1998,8:00,19,601,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,7,E,9,6,E,9,2,A,7,-3,A,7,67,A,7,986,E,9,210,A,7,7.2,A,7,16100,B,7,77777,A,7,0.8,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,273.078682
1/1/1998,9:00,197,1415,120,2,9,249,2,21,85,2,9,121,2,9,149,2,21,100,2,9,182,2,25,6,E,9,6,E,9,3,A,7,-3,A,7,63,A,7,986,E,9,210,A,7,9.8,A,7,16100,B,7,77777,A,7,0.8,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,274.0972745
1/1/1998,10:00,384,1415,43,2,9,0,2,21,43,2,9,51,2,9,0,2,21,51,2,9,182,2,25,7,E,9,6,E,9,4,A,7,-3,A,7,59,A,7,986,E,9,220,A,7,10.3,A,7,16100,B,7,77777,A,7,0.8,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,274.6847805
1/1/1998,11:00,521,1415,65,2,9,0,2,21,65,2,9,78,2,9,0,2,21,78,2,9,287,2,25,3,E,9,2,E,9,4,A,7,-3,A,7,59,A,7,986,E,9,220,A,7,8.7,A,7,16100,B,7,77777,A,7,0.9,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,274.8850038
1/1/1998,12:00,597,1415,433,2,9,568,2,21,192,2,9,441,2,9,549,2,21,208,2,9,397,2,25,0,E,9,0,E,9,5,A,7,-3,A,7,55,A,7,986,E,9,220,A,7,9.8,A,7,16100,B,7,77777,A,7,0.9,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,277.1010088
1/1/1998,13:00,609,1415,256,2,9,132,2,21,199,2,9,277,2,9,132,2,21,220,2,9,475,2,25,0,E,9,0,E,9,5,A,7,-3,A,7,55,A,7,986,E,9,230,A,7,8.7,A,7,16100,B,7,77777,A,7,1,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,277.8246848
1/1/1998,14:00,554,1415,389,2,9,593,2,21,156,2,9,402,2,9,565,2,21,179,2,9,311,2,25,0,E,9,0,E,9,5,A,7,-2,A,7,59,A,7,986,E,9,230,A,7,7.7,A,7,16100,B,7,77777,A,7,1,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,279.7270268
1/1/1998,15:00,437,1415,243,2,9,436,2,21,107,2,9,253,2,9,389,2,21,132,2,9,202,2,25,0,E,9,0,E,9,5,A,7,-2,A,7,59,A,7,986,E,9,220,A,7,7.2,A,7,16100,B,7,77777,A,7,1.1,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,281.4905749
1/1/1998,16:00,267,1415,155,2,9,474,2,21,65,2,9,155,2,9,347,2,21,90,2,9,109,2,25,0,E,9,0,E,9,5,A,7,-1,A,7,64,A,7,986,E,9,220,A,7,6.7,A,7,16100,B,7,77777,A,7,1.1,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,282.3100036
1/1/1998,17:00,64,1097,18,2,9,217,2,21,9,2,9,24,2,9,128,2,21,16,2,9,26,2,25,0,E,9,0,E,9,5,A,7,-1,A,7,64,A,7,986,E,9,220,A,7,6.2,A,7,16100,B,7,77777,A,7,1.2,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,281.4627259
1/1/1998,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,4,A,7,-1,A,7,69,A,7,986,E,9,220,A,7,4.1,A,7,16100,B,7,77777,A,7,1.2,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,278.7599636
1/1/1998,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,3,A,7,-1,A,7,74,A,7,986,E,9,210,A,7,4.6,A,7,16100,B,7,77777,A,7,1.3,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,276.4616192
1/1/1998,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,4,A,7,1,A,7,81,A,7,986,E,9,210,A,7,4.1,A,7,16100,B,7,77777,A,7,1.3,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,276.0493773
1/1/1998,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,4,A,7,1,A,7,81,A,7,986,E,9,210,A,7,6.7,A,7,16100,B,7,77777,A,7,1.4,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,275.8389121
1/1/1998,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,4,A,7,1,A,7,81,A,7,986,E,9,220,A,7,8.2,A,7,16100,B,7,77777,A,7,1.4,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,275.7363946
1/1/1998,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,4,A,7,1,A,7,81,A,7,986,E,9,210,A,7,5.7,A,7,16100,B,7,77777,A,7,1.4,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,275.687066
1/1/1998,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,4,A,7,0,A,7,75,A,7,986,E,9,210,A,7,6.7,A,7,16100,B,7,77777,A,7,1.5,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,275.6634649
1/2/1998,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,4,A,7,0,A,7,75,A,7,986,E,9,200,A,7,6.2,A,7,16100,B,7,77777,A,7,1.5,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,275.6522028
1/2/1998,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,3,A,7,0,A,7,81,A,7,986,E,9,200,A,7,6.2,A,7,16100,B,7,77777,A,7,1.6,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,276.0940294
1/2/1998,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,3,A,7,0,A,7,81,A,7,986,E,9,200,A,7,7.2,A,7,16100,B,7,77777,A,7,1.6,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,276.172908
1/2/1998,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,3,A,7,1,A,7,87,A,7,986,E,9,190,A,7,5.7,A,7,16100,B,7,750,A,7,1.7,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,275.8404003
1/2/1998,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,3,A,7,1,A,7,87,A,7,986,E,9,180,A,7,5.1,A,7,16100,B,7,750,A,7,1.7,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,275.3189409
1/2/1998,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,3,A,7,1,A,7,87,A,7,986,E,9,180,A,7,5.1,A,7,16100,B,7,990,A,7,1.8,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,274.9818586
1/2/1998,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,4,A,7,1,A,7,81,A,7,986,E,9,180,A,7,6.2,A,7,16100,B,7,930,A,7,1.8,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,275.1408518
1/2/1998,8:00,19,601,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,A,7,4,A,7,1,A,7,81,A,7,986,E,9,180,A,7,8.2,A,7,16100,B,7,1050,A,7,1.8,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,275.407254
1/2/1998,9:00,197,1415,60,2,9,7,2,21,59,2,9,66,2,9,1,2,21,65,2,9,182,2,25,10,E,9,10,A,7,4,A,7,1,A,7,81,A,7,986,E,9,180,A,7,6.7,A,7,16100,B,7,1050,A,7,1.8,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,275.3411594
1/2/1998,10:00,384,1415,214,2,9,399,2,21,105,2,9,220,2,9,340,2,21,127,2,9,199,2,25,10,E,9,10,A,7,5,A,7,1,A,7,75,A,7,986,E,9,180,A,7,7.2,A,7,16100,B,7,1110,A,7,1.8,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,276.2126393
1/2/1998,11:00,522,1415,325,2,9,589,2,21,107,2,9,333,2,9,543,2,21,132,2,9,199,2,25,10,E,9,10,A,7,7,A,7,2,A,7,70,A,7,986,E,9,190,A,7,8.7,A,7,16100,B,7,1170,A,7,1.8,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,278.5547329
1/2/1998,12:00,599,1415,383,2,9,580,2,21,137,2,9,405,2,9,564,2,21,165,2,9,271,2,25,10,E,9,10,A,7,7,A,7,3,A,7,76,A,7,986,E,9,190,A,7,8.7,A,7,16100,B,7,1110,A,7,1.8,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,280.8671643
1/2/1998,13:00,611,1415,441,2,9,749,2,21,116,2,9,456,2,9,717,2,21,145,2,9,228,2,25,5,E,9,5,A,7,9,A,7,5,A,7,76,A,7,986,E,9,190,A,7,7.2,A,7,16100,B,7,77777,A,7,1.8,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,284.594874
1/2/1998,14:00,557,1415,395,2,9,806,2,21,76,2,9,406,2,9,760,2,21,106,2,9,148,2,25,10,E,9,10,A,7,9,A,7,6,A,7,81,A,7,986,E,9,190,A,7,7.7,A,7,16100,B,7,870,A,7,1.8,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,288.3823355
1/2/1998,15:00,440,1415,297,2,9,623,2,21,102,2,9,301,2,9,546,2,21,130,2,9,180,2,25,10,E,9,10,A,7,10,A,7,7,A,7,82,A,7,986,E,9,190,A,7,7.7,A,7,16100,B,7,990,A,7,1.8,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,289.8807995
1/2/1998,16:00,270,1415,122,2,9,309,2,21,63,2,9,127,2,9,227,2,21,84,2,9,115,2,25,10,E,9,10,A,7,10,A,7,7,A,7,82,A,7,986,E,9,190,A,7,6.7,A,7,16100,B,7,900,A,7,1.8,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,288.4264498
1/2/1998,17:00,67,1120,19,2,9,118,2,21,14,2,9,22,2,9,55,2,21,19,2,9,26,2,25,10,E,9,10,A,7,11,A,7,7,A,7,76,A,7,986,E,9,190,A,7,6.7,A,7,16100,B,7,1350,A,7,1.8,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,286.1560215
1/2/1998,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,11,A,7,8,A,7,82,A,7,986,E,9,180,A,7,7.7,A,7,16100,B,7,1020,A,7,1.8,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,284.2249649
1/2/1998,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,2,E,9,11,A,7,8,A,7,82,A,7,986,E,9,190,A,7,7.7,A,7,16100,B,7,77777,A,7,1.8,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,284.4279057
1/2/1998,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,2,E,9,11,A,7,8,A,7,82,A,7,986,E,9,200,A,7,9.8,A,7,16100,B,7,77777,A,7,1.8,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,282.4014017
1/2/1998,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,3,E,9,11,A,7,8,A,7,82,A,7,986,E,9,190,A,7,8.7,A,7,16100,B,7,77777,A,7,1.8,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,282.4701612
1/2/1998,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,4,E,9,11,A,7,8,A,7,82,A,7,986,E,9,190,A,7,9.3,A,7,16100,B,7,77777,A,7,1.8,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,282.5020686
1/2/1998,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,3,E,9,11,A,7,8,A,7,82,A,7,986,E,9,200,A,7,7.7,A,7,16100,B,7,77777,A,7,1.8,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,282.516923
1/2/1998,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,11,A,7,9,A,7,87,A,7,986,E,9,200,A,7,7.7,A,7,16100,B,7,600,A,7,1.8,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,282.5238491
1/3/1998,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,9,A,7,12,A,7,9,A,7,82,A,7,986,E,9,200,A,7,7.7,A,7,16100,B,7,1440,A,7,1.8,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,282.8670619
1/3/1998,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,5,A,7,11,A,7,9,A,7,87,A,7,986,E,9,190,A,7,6.2,A,7,16100,B,7,77777,A,7,1.8,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,282.8838212
1/3/1998,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,12,A,7,9,A,7,82,A,7,986,E,9,200,A,7,7.2,A,7,16100,B,7,1320,A,7,1.8,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,283.0303612
1/3/1998,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,5,A,7,12,A,7,9,A,7,82,A,7,986,E,9,200,A,7,5.7,A,7,16100,B,7,77777,A,7,1.8,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,283.2918326
1/3/1998,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,12,A,7,10,A,7,88,A,7,986,E,9,190,A,7,8.2,A,7,16100,B,7,1500,A,7,1.8,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,283.4109926
1/3/1998,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,12,A,7,10,A,7,88,A,7,986,E,9,190,A,7,4.1,A,7,16100,B,7,1500,A,7,1.8,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,283.4659033
1/3/1998,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,12,A,7,10,A,7,88,A,7,986,E,9,180,A,7,4.6,A,7,16100,B,7,1020,A,7,1.8,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,283.4913449
1/3/1998,8:00,19,601,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,A,7,12,A,7,10,A,7,88,A,7,986,E,9,180,A,7,4.6,A,7,16100,B,7,1050,A,7,1.8,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,283.5031632
1/3/1998,9:00,198,1415,30,2,9,0,2,21,30,2,9,35,2,9,0,2,21,35,2,9,112,2,25,10,E,9,10,A,7,12,A,7,10,A,7,88,A,7,986,E,9,190,A,7,4.6,A,7,16100,B,7,1440,A,7,1.8,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,283.4016361
1/3/1998,10:00,385,1415,64,2,9,0,2,21,64,2,9,74,2,9,0,2,21,74,2,9,255,2,25,10,E,9,10,A,7,13,A,7,11,A,7,88,A,7,986,E,9,210,A,7,4.1,A,7,16100,B,7,1500,A,7,1.8,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,283.5177868
1/3/1998,11:00,523,1415,58,2,9,0,2,21,58,2,9,70,2,9,0,2,21,70,2,9,260,2,25,10,E,9,10,A,7,6,A,7,4,A,7,87,A,7,986,E,9,330,A,7,6.7,A,7,4800,B,7,150,A,7,1.8,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,281.1945125
1/3/1998,12:00,601,1415,68,2,9,0,2,21,68,2,9,82,2,9,0,2,21,82,2,9,313,2,25,10,B,8,10,B,8,4.1,B,8,1.9,B,8,86,A,7,986,E,9,330,B,8,7,B,8,6400,C,8,180,B,8,1.8,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,278.1908798
1/3/1998,13:00,613,1415,72,2,9,0,2,21,72,2,9,87,2,9,0,2,21,87,2,9,331,2,25,10,E,9,10,A,7,2,A,7,0,A,7,87,A,7,986,E,9,320,A,7,7.2,A,7,8000,B,7,210,A,7,1.9,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,275.7578762
1/3/1998,14:00,560,1415,74,2,9,0,2,21,74,2,9,88,2,9,0,2,21,88,2,9,329,2,25,10,E,9,10,A,7,1,A,7,-1,A,7,86,A,7,986,E,9,330,A,7,7.2,A,7,8000,B,7,210,A,7,1.9,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,273.5134836
1/3/1998,15:00,444,1415,49,2,9,0,2,21,49,2,9,59,2,9,0,2,21,59,2,9,213,2,25,10,E,9,10,A,7,1,A,7,-2,A,7,79,A,7,986,E,9,320,A,7,5.7,A,7,5600,B,7,210,A,7,1.9,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,272.9815002
1/3/1998,16:00,273,1415,85,2,9,61,2,21,73,2,9,93,2,9,49,2,21,83,2,9,180,2,25,10,E,9,10,A,7,0,A,7,-2,A,7,85,A,7,986,E,9,330,A,7,5.7,A,7,8000,B,7,270,A,7,1.9,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,272.8878701
1/3/1998,17:00,69,1144,11,2,9,4,2,21,11,2,9,12,2,9,2,2,21,12,2,9,29,2,25,10,E,9,10,A,7,-1,A,7,-2,A,7,92,A,7,986,E,9,340,A,7,4.6,A,7,4000,B,7,270,A,7,1.9,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,272.1691077
1/3/1998,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-1,A,7,-2,A,7,92,A,7,986,E,9,340,A,7,4.6,A,7,3200,B,7,240,A,7,1.9,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,271.5616798
1/3/1998,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-1,A,7,-2,A,7,92,A,7,986,E,9,330,A,7,4.6,A,7,4000,B,7,240,A,7,1.9,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,271.1410353
1/3/1998,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-0.8,B,8,-2.1,B,8,90,A,7,986,E,9,340,B,8,4.4,B,8,4000,C,8,240,B,8,1.9,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,270.9881696
1/3/1998,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-0.5,B,8,-2.1,B,8,88,A,7,986,E,9,350,B,8,4.3,B,8,4000,C,8,240,B,8,1.9,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,271.0472392
1/3/1998,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,0,A,7,-2,A,7,85,A,7,986,E,9,360,A,7,4.1,A,7,4000,B,7,240,A,7,1.9,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,271.2972454
1/3/1998,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,0,A,7,-1,A,7,92,A,7,986,E,9,360,A,7,4.1,A,7,2800,B,7,180,A,7,1.9,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,271.5106364
1/3/1998,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,0.1,B,8,-0.9,B,8,92,A,7,986,E,9,10,B,8,3.4,B,8,3000,C,8,150,B,8,1.9,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,271.6439516
1/4/1998,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,0,A,7,-1,A,7,92,A,7,986,E,9,10,A,7,2.6,A,7,3200,B,7,120,A,7,1.9,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,271.6939866
1/4/1998,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,0.4,B,8,-1.1,B,8,89,A,7,986,E,9,360,A,7,2.6,A,7,2000,B,7,120,A,7,2,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,271.8291461
1/4/1998,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,1,A,7,-1,A,7,86,A,7,986,E,9,360,A,7,2.6,A,7,1600,B,7,120,A,7,2,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,272.1694687
1/4/1998,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,1,B,8,-1,B,8,86,A,7,986,E,9,10,B,8,2.1,B,8,1200,C,8,90,B,8,2,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,272.4435043
1/4/1998,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,1,A,7,-1,A,7,86,A,7,986,E,9,10,A,7,1.5,A,7,800,B,7,60,A,7,2,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,272.5717865
1/4/1998,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,2,A,7,1,A,7,93,A,7,986,E,9,60,A,7,3.6,A,7,1600,B,7,60,A,7,2,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,272.9666989
1/4/1998,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,2,A,7,0,A,7,87,A,7,986,E,9,70,A,7,5.1,A,7,1200,B,7,60,A,7,2,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,273.3424823
1/4/1998,8:00,19,601,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,A,7,1,A,7,0,A,7,93,A,7,986,E,9,80,A,7,6.2,A,7,400,B,7,60,A,7,2,E,8,0.072,F,8,0.19,F,8,0,1,D,9,0,C,8,273.198193
