703165,SAND POINT,AK,-9,55.317,-160.517,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1997,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,9,E,9,4,E,9,3,E,9,93,A,7,1012,E,9,320,E,9,2.1,E,9,4000,C,8,990,E,9,0.4,E,8,0.051,F,8,0.24,F,8,0,1,D,9,0,C,8,277
1/1/1997,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,4,E,9,3,E,9,93,A,7,1012,E,9,0,E,9,0,E,9,4000,C,8,540,E,9,0.4,E,8,0.051,F,8,0.24,F,8,0,1,D,9,0,C,8,276.3217013
1/1/1997,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,9,E,9,5,E,9,3,E,9,87,A,7,1012,E,9,260,E,9,3.1,E,9,4000,C,8,720,E,9,0.4,E,8,0.051,F,8,0.24,F,8,0,1,D,9,0,C,8,276.2932004
1/1/1997,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,5,E,9,4,E,9,93,A,7,1012,E,9,330,E,9,2.1,E,9,4000,C,8,750,E,9,0.4,E,8,0.051,F,8,0.24,F,8,0,1,D,9,0,C,8,276.4698724
1/1/1997,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,6,E,9,3,E,9,81,A,7,1012,E,9,310,E,9,3.6,E,9,4000,C,8,690,E,9,0.3,E,8,0.051,F,8,0.24,F,8,0,1,D,9,0,C,8,276.8903787
1/1/1997,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,6.3,E,9,3.8,E,9,84,A,7,1012,E,9,300,E,9,3.1,E,9,4000,C,8,810,E,9,0.3,E,8,0.051,F,8,0.24,F,8,0,1,D,9,0,C,8,277.3799749
1/1/1997,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,6,E,9,4,E,9,87,A,7,1012,E,9,290,E,9,4.1,E,9,4000,C,8,750,E,9,0.3,E,8,0.051,F,8,0.24,F,8,0,1,D,9,0,C,8,277.5608331
1/1/1997,8:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,7,E,9,6,E,9,93,A,7,1012,E,9,310,E,9,2.1,E,9,4000,C,8,630,E,9,0.3,E,8,0.051,F,8,0.24,F,8,0,1,D,9,0,C,8,277.9238434
1/1/1997,9:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,6,E,9,5,E,9,93,A,7,1012,E,9,310,E,9,3.1,E,9,4000,C,8,570,E,9,0.3,E,8,0.051,F,8,0.24,F,8,0,1,D,9,0,C,8,277.9537392
1/1/1997,10:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,9,E,9,6,E,9,5,E,9,93,A,7,1012,E,9,310,E,9,3.1,E,9,4000,C,8,750,E,9,0.3,E,8,0.051,F,8,0.24,F,8,0,1,D,9,0,C,8,277.7754012
1/1/1997,11:00,43,1144,5,1,28,0,1,31,5,1,28,0,1,28,0,1,31,0,1,28,0,1,50,10,E,9,10,E,9,6,E,9,6,E,9,100,A,7,1012,E,9,330,E,9,2.6,E,9,4000,C,8,900,E,9,0.3,E,8,0.051,F,8,0.24,F,8,0,1,D,9,0,C,8,277.6711823
1/1/1997,12:00,163,1415,30,1,28,0,1,31,30,1,28,34,1,28,0,1,31,34,1,28,107,1,50,10,E,9,10,E,9,6,E,9,3,E,9,81,A,7,1012,E,9,330,E,9,3.1,E,9,4000,C,8,840,E,9,0.3,E,8,0.051,F,8,0.24,F,8,0,1,D,9,0,C,8,277.5220499
1/1/1997,13:00,248,1415,49,1,28,0,1,31,49,1,28,56,1,28,0,1,31,56,1,28,177,1,50,10,E,9,10,E,9,5,E,9,3,E,9,87,A,7,1012,E,9,300,E,9,4.6,E,9,4000,C,8,870,E,9,0.3,E,8,0.051,F,8,0.24,F,8,0,1,D,9,0,C,8,277.013374
1/1/1997,14:00,286,1415,58,1,28,0,1,31,58,1,28,66,1,28,0,1,31,66,1,28,212,1,50,10,E,9,10,E,9,5,E,9,2,E,9,81,A,7,1012,E,9,320,E,9,3.1,E,9,4000,C,8,810,E,9,0.3,E,8,0.051,F,8,0.24,F,8,0,1,D,9,0,C,8,276.504113
1/1/1997,15:00,274,1415,55,1,28,0,1,31,55,1,28,62,1,28,0,1,31,62,1,28,200,1,50,10,E,9,10,E,9,5,E,9,2,E,9,81,A,7,1012,E,9,310,E,9,3.6,E,9,4000,C,8,660,E,9,0.3,E,8,0.051,F,8,0.24,F,8,0,1,D,9,0,C,8,276.2547745
1/1/1997,16:00,214,1415,41,1,28,0,1,31,41,1,28,47,1,28,0,1,31,47,1,28,147,1,50,10,E,9,10,E,9,5,E,9,2,E,9,81,A,7,1012,E,9,320,E,9,2.1,E,9,4000,C,8,600,E,9,0.3,E,8,0.051,F,8,0.24,F,8,0,1,D,9,0,C,8,276.1947052
1/1/1997,17:00,109,1415,18,1,28,0,1,31,18,1,28,21,1,28,0,1,31,21,1,28,65,1,50,10,E,9,10,E,9,5,E,9,1,E,9,75,A,7,1012,E,9,300,E,9,1.5,E,9,4000,C,8,570,E,9,0.3,E,8,0.051,F,8,0.24,F,8,0,1,D,9,0,C,8,276.276423
1/1/1997,18:00,8,483,0,1,28,0,1,31,0,1,28,0,1,28,0,1,31,0,1,28,0,1,50,10,E,9,10,E,9,5,E,9,0,E,9,70,A,7,1012,E,9,350,E,9,2.6,E,9,4000,C,8,510,E,9,0.3,E,8,0.051,F,8,0.24,F,8,0,1,D,9,0,C,8,276.4247695
1/1/1997,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,5,E,9,0,E,9,70,A,7,1012,E,9,320,E,9,1.5,E,9,4000,C,8,510,E,9,0.3,E,8,0.051,F,8,0.24,F,8,0,1,D,9,0,C,8,276.5312434
1/1/1997,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,4,E,9,1,E,9,81,A,7,1012,E,9,0,E,9,0,E,9,4000,C,8,510,E,9,0.3,E,8,0.051,F,8,0.24,F,8,0,1,D,9,0,C,8,276.2666129
1/1/1997,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,4,E,9,1,E,9,81,A,7,1012,E,9,350,E,9,1.6,E,9,4000,C,8,510,E,9,0.3,E,8,0.051,F,8,0.24,F,8,0,1,D,9,0,C,8,275.9471519
1/1/1997,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,4,E,9,1,E,9,81,A,7,1012,E,9,330,E,9,3.1,E,9,4000,C,8,510,E,9,0.3,E,8,0.051,F,8,0.24,F,8,0,1,D,9,0,C,8,275.7889087
1/1/1997,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,4,E,9,1,E,9,81,A,7,1012,E,9,330,E,9,2.6,E,9,4000,C,8,510,E,9,0.3,E,8,0.051,F,8,0.24,F,8,0,1,D,9,0,C,8,275.7122862
1/1/1997,24:00:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,4,E,9,0,E,9,75,A,7,1012,E,9,340,E,9,4.6,E,9,4000,C,8,450,E,9,0.3,E,8,0.051,F,8,0.24,F,8,0,1,D,9,0,C,8,275.6755208
1/2/1997,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,4,E,9,0,E,9,75,A,7,1012,E,9,10,E,9,4.1,E,9,4000,C,8,600,E,9,0.3,E,8,0.052,F,8,0.24,F,8,0,1,D,9,0,C,8,275.6579533
1/2/1997,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,4,E,9,1,E,9,81,A,7,1012,E,9,350,E,9,5.1,E,9,4000,C,8,510,E,9,0.3,E,8,0.052,F,8,0.24,F,8,0,1,D,9,0,C,8,275.6495755
1/2/1997,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,4,E,9,1,E,9,81,A,7,1012,E,9,350,E,9,5.1,E,9,4000,C,8,180,E,9,0.3,E,8,0.052,F,8,0.24,F,8,0,1,D,9,0,C,8,275.6455839
1/2/1997,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,4,E,9,0,E,9,75,A,7,1012,E,9,330,E,9,6.7,E,9,4000,C,8,255,E,9,0.3,E,8,0.052,F,8,0.24,F,8,0,1,D,9,0,C,8,275.643683
1/2/1997,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,3.9,E,9,0.4,E,9,78,A,7,1012,E,9,340,E,9,7.7,E,9,4000,C,8,330,E,9,0.3,E,8,0.052,F,8,0.24,F,8,0,1,D,9,0,C,8,275.6104453
1/2/1997,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,9,E,9,4,E,9,1,E,9,81,A,7,1012,E,9,340,E,9,4.6,E,9,4000,C,8,450,E,9,0.3,E,8,0.052,F,8,0.24,F,8,0,1,D,9,0,C,8,275.6078702
1/2/1997,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,4,E,9,2,E,9,87,A,7,1012,E,9,340,E,9,2.6,E,9,4000,C,8,240,E,9,0.3,E,8,0.052,F,8,0.24,F,8,0,1,D,9,0,C,8,275.6257386
1/2/1997,8:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,4.3,E,9,2,E,9,85,A,7,1012,E,9,0,E,9,0,E,9,4000,C,8,450,E,9,0.3,E,8,0.052,F,8,0.24,F,8,0,1,D,9,0,C,8,275.7326553
1/2/1997,9:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,9,E,9,4,E,9,1.5,E,9,84,A,7,1012,E,9,0,E,9,0,E,9,4000,C,8,450,E,9,0.3,E,8,0.052,F,8,0.24,F,8,0,1,D,9,0,C,8,275.7427595
1/2/1997,10:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,9,E,9,4,E,9,1,E,9,81,A,7,1012,E,9,0,E,9,0,E,9,4000,C,8,450,E,9,0.3,E,8,0.052,F,8,0.24,F,8,0,1,D,9,0,C,8,275.6901632
1/2/1997,11:00,44,1144,8,1,28,12,1,31,7,1,28,0,1,28,0,1,31,0,1,28,0,1,50,9,E,9,9,E,9,4,E,9,2,E,9,87,A,7,1012,E,9,0,E,9,0,E,9,4000,C,8,510,E,9,0.3,E,8,0.052,F,8,0.24,F,8,0,1,D,9,0,C,8,275.7196597
1/2/1997,12:00,164,1415,52,1,28,56,1,31,46,1,28,57,1,28,34,1,31,53,1,28,96,1,50,9,E,9,9,E,9,4,E,9,2,E,9,87,A,7,1012,E,9,0,E,9,0,E,9,4000,C,8,390,E,9,0.3,E,8,0.052,F,8,0.24,F,8,0,1,D,9,0,C,8,275.8939107
1/2/1997,13:00,249,1415,121,1,28,414,1,31,48,1,28,124,1,28,300,1,31,71,1,28,85,1,50,2,E,9,2,E,9,4,E,9,3,E,9,93,A,7,1012,E,9,320,E,9,2.1,E,9,4000,C,8,77777,E,9,0.3,E,8,0.052,F,8,0.24,F,8,0,1,D,9,0,C,8,277.8843285
1/2/1997,14:00,288,1415,49,1,28,0,1,31,49,1,28,56,1,28,0,1,31,56,1,28,186,1,50,9,E,9,9,E,9,4,E,9,3,E,9,93,A,7,1012,E,9,0,E,9,0,E,9,4000,C,8,540,E,9,0.3,E,8,0.052,F,8,0.24,F,8,0,1,D,9,0,C,8,277.5351816
1/2/1997,15:00,277,1415,99,1,28,60,1,31,87,1,28,108,1,28,49,1,31,98,1,28,207,1,50,9,E,9,9,E,9,4,E,9,3,E,9,93,A,7,1012,E,9,50,E,9,1.5,E,9,4000,C,8,555,E,9,0.3,E,8,0.052,F,8,0.24,F,8,0,1,D,9,0,C,8,276.3316525
1/2/1997,16:00,217,1415,41,1,28,34,1,31,36,1,28,46,1,28,24,1,31,43,1,28,76,1,50,9,E,9,9,E,9,4,E,9,3,E,9,93,A,7,1012,E,9,0,E,9,0,E,9,4000,C,8,570,E,9,0.3,E,8,0.052,F,8,0.24,F,8,0,1,D,9,0,C,8,275.7658922
1/2/1997,17:00,112,1415,26,1,28,16,1,31,24,1,28,28,1,28,10,1,31,27,1,28,58,1,50,9,E,9,9,E,9,4,E,9,3,E,9,93,A,7,1012,E,9,30,E,9,2.1,E,9,4000,C,8,570,E,9,0.3,E,8,0.052,F,8,0.24,F,8,0,1,D,9,0,C,8,275.6121577
1/2/1997,18:00,9,507,1,1,28,2,1,31,0,1,28,0,1,28,0,1,31,0,1,28,0,1,50,9,E,9,9,E,9,4,E,9,2,E,9,87,A,7,1012,E,9,0,E,9,0,E,9,4000,C,8,570,E,9,0.3,E,8,0.052,F,8,0.24,F,8,0,1,D,9,0,C,8,275.6158173
1/2/1997,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,3,E,9,1,E,9,87,A,7,1012,E,9,0,E,9,0,E,9,4000,C,8,660,E,9,0.3,E,8,0.052,F,8,0.24,F,8,0,1,D,9,0,C,8,275.3254025
1/2/1997,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,4,E,9,2,E,9,87,A,7,1012,E,9,40,E,9,1.5,E,9,4000,C,8,660,E,9,0.3,E,8,0.052,F,8,0.24,F,8,0,1,D,9,0,C,8,275.3033671
1/2/1997,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,9,E,9,3,E,9,1,E,9,87,A,7,1012,E,9,0,E,9,0,E,9,4000,C,8,930,E,9,0.3,E,8,0.052,F,8,0.24,F,8,0,1,D,9,0,C,8,275.1621324
1/2/1997,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,3,E,9,1,E,9,87,A,7,1012,E,9,40,E,9,3.1,E,9,4000,C,8,900,E,9,0.3,E,8,0.052,F,8,0.24,F,8,0,1,D,9,0,C,8,274.9035293
1/2/1997,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,3,E,9,1,E,9,87,A,7,1012,E,9,60,E,9,2.1,E,9,4000,C,8,780,E,9,0.3,E,8,0.052,F,8,0.24,F,8,0,1,D,9,0,C,8,274.7760293
1/2/1997,24:00:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,3,E,9,2,E,9,93,A,7,1012,E,9,0,E,9,0,E,9,4000,C,8,960,E,9,0.3,E,8,0.052,F,8,0.24,F,8,0,1,D,9,0,C,8,274.7143292
1/3/1997,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,6,E,9,6,E,9,3,E,9,2,E,9,93,A,7,1012,E,9,30,E,9,2.1,E,9,4000,C,8,77777,E,9,0.3,E,8,0.053,F,8,0.24,F,8,0,1,D,9,0,C,8,274.6846871
1/3/1997,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,3,E,9,2,E,9,93,A,7,1012,E,9,0,E,9,0,E,9,4000,C,8,1055,E,9,0.3,E,8,0.053,F,8,0.24,F,8,0,1,D,9,0,C,8,274.6704942
1/3/1997,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,3,E,9,2,E,9,93,A,7,1012,E,9,0,E,9,0,E,9,4000,C,8,1328,E,9,0.3,E,8,0.053,F,8,0.24,F,8,0,1,D,9,0,C,8,274.6637094
1/3/1997,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,3,E,9,2,E,9,93,A,7,1012,E,9,0,E,9,0,E,9,4000,C,8,851,E,9,0.3,E,8,0.053,F,8,0.24,F,8,0,1,D,9,0,C,8,274.6604683
1/3/1997,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,6,E,9,6,E,9,3,E,9,2,E,9,93,A,7,1012,E,9,30,E,9,3.1,E,9,4000,C,8,77777,E,9,0.3,E,8,0.053,F,8,0.24,F,8,0,1,D,9,0,C,8,274.6589207
1/3/1997,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,3,E,9,2,E,9,93,A,7,1012,E,9,330,E,9,1.5,E,9,4000,C,8,316,E,9,0.4,E,8,0.053,F,8,0.24,F,8,0,1,D,9,0,C,8,274.6581818
1/3/1997,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,3,E,9,2,E,9,93,A,7,1012,E,9,0,E,9,0,E,9,4000,C,8,289,E,9,0.4,E,8,0.053,F,8,0.24,F,8,0,1,D,9,0,C,8,274.657829
1/3/1997,8:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,3,E,9,2,E,9,93,A,7,1012,E,9,0,E,9,0,E,9,4000,C,8,0,E,9,0.4,E,8,0.053,F,8,0.24,F,8,0,1,D,9,0,C,8,274.6576606
1/3/1997,9:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,3,E,9,2,E,9,93,A,7,1012,E,9,0,E,9,0,E,9,4000,C,8,0,E,9,0.4,E,8,0.053,F,8,0.24,F,8,0,1,D,9,0,C,8,274.6575802
1/3/1997,10:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,3,E,9,2,E,9,93,A,7,1012,E,9,30,E,9,2.1,E,9,4000,C,8,597,E,9,0.4,E,8,0.053,F,8,0.24,F,8,0,1,D,9,0,C,8,274.6575419
1/3/1997,11:00,45,1167,7,1,28,4,1,31,7,1,28,0,1,28,0,1,31,0,1,28,0,1,50,9,E,9,9,E,9,3,E,9,2,E,9,93,A,7,1012,E,9,60,E,9,2.6,E,9,4000,C,8,1020,E,9,0.4,E,8,0.053,F,8,0.24,F,8,0,1,D,9,0,C,8,274.6572131
1/3/1997,12:00,165,1415,41,1,28,33,1,31,37,1,28,45,1,28,23,1,31,42,1,28,91,1,50,9,E,9,9,E,9,3,E,9,2,E,9,93,A,7,1012,E,9,50,E,9,2.6,E,9,4000,C,8,1020,E,9,0.5,E,8,0.053,F,8,0.24,F,8,0,1,D,9,0,C,8,274.7329871
1/3/1997,13:00,251,1415,49,1,28,0,1,31,49,1,28,56,1,28,0,1,31,56,1,28,178,1,50,10,E,9,10,E,9,3,E,9,2,E,9,93,A,7,1012,E,9,0,E,9,0,E,9,4000,C,8,900,E,9,0.5,E,8,0.053,F,8,0.24,F,8,0,1,D,9,0,C,8,274.5516649
1/3/1997,14:00,290,1415,58,1,28,0,1,31,58,1,28,66,1,28,0,1,31,66,1,28,213,1,50,10,E,9,10,E,9,3,E,9,2,E,9,93,A,7,1012,E,9,50,E,9,2.1,E,9,4000,C,8,960,E,9,0.5,E,8,0.053,F,8,0.24,F,8,0,1,D,9,0,C,8,274.3011441
1/3/1997,15:00,279,1415,78,1,28,40,1,31,70,1,28,85,1,28,32,1,31,79,1,28,176,1,50,9,E,9,9,E,9,3,E,9,1,E,9,87,A,7,1012,E,9,40,E,9,2.6,E,9,4000,C,8,960,E,9,0.5,E,8,0.053,F,8,0.24,F,8,0,1,D,9,0,C,8,274.2192011
1/3/1997,16:00,219,1415,42,1,28,0,1,31,42,1,28,48,1,28,0,1,31,48,1,28,151,1,50,10,E,9,10,E,9,3,E,9,1,E,9,87,A,7,1012,E,9,90,E,9,1.5,E,9,4000,C,8,960,E,9,0.5,E,8,0.053,F,8,0.24,F,8,0,1,D,9,0,C,8,274.1970924
1/3/1997,17:00,116,1415,18,1,28,0,1,31,18,1,28,21,1,28,0,1,31,21,1,28,65,1,50,10,E,9,10,E,9,2,E,9,0,E,9,87,A,7,1012,E,9,30,E,9,2.6,E,9,4000,C,8,960,E,9,0.5,E,8,0.053,F,8,0.24,F,8,0,1,D,9,0,C,8,273.9655757
1/3/1997,18:00,10,554,0,1,28,0,1,31,0,1,28,0,1,28,0,1,31,0,1,28,0,1,50,10,E,9,10,E,9,2,E,9,-1,E,9,80,A,7,1012,E,9,70,E,9,2.1,E,9,4000,C,8,960,E,9,0.6,E,8,0.053,F,8,0.24,F,8,0,1,D,9,0,C,8,273.7764146
1/3/1997,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,2.1,E,9,-1.4,E,9,77,A,7,1012,E,9,0,E,9,0,E,9,4000,C,8,900,E,9,0.6,E,8,0.053,F,8,0.24,F,8,0,1,D,9,0,C,8,273.7547659
1/3/1997,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,2,E,9,-2,E,9,73,A,7,1012,E,9,80,E,9,2.1,E,9,4000,C,8,900,E,9,0.6,E,8,0.053,F,8,0.24,F,8,0,1,D,9,0,C,8,273.73123
1/3/1997,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,2,E,9,-1,E,9,80,A,7,1012,E,9,60,E,9,2.6,E,9,4000,C,8,900,E,9,0.6,E,8,0.053,F,8,0.24,F,8,0,1,D,9,0,C,8,273.7009165
1/3/1997,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,2,E,9,-2,E,9,73,A,7,1012,E,9,70,E,9,3.1,E,9,4000,C,8,960,E,9,0.6,E,8,0.053,F,8,0.24,F,8,0,1,D,9,0,C,8,273.6863478
1/3/1997,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,9,E,9,2,E,9,-1,E,9,80,A,7,1012,E,9,60,E,9,3.1,E,9,4000,C,8,900,E,9,0.7,E,8,0.053,F,8,0.24,F,8,0,1,D,9,0,C,8,273.6793637
1/3/1997,24:00:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,2,E,9,-2,E,9,73,A,7,1012,E,9,60,E,9,2.6,E,9,4000,C,8,840,E,9,0.7,E,8,0.053,F,8,0.24,F,8,0,1,D,9,0,C,8,273.6760183
1/4/1997,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,E,9,2,E,9,2,E,9,-3,E,9,67,A,7,1012,E,9,70,E,9,2.1,E,9,4000,C,8,77777,E,9,0.7,E,8,0.053,F,8,0.24,F,8,0,1,D,9,0,C,8,273.6744164
1/4/1997,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,E,9,3,E,9,2,E,9,-3,E,9,67,A,7,1012,E,9,70,E,9,3.1,E,9,4000,C,8,77777,E,9,0.7,E,8,0.053,F,8,0.24,F,8,0,1,D,9,0,C,8,273.6736495
1/4/1997,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,E,9,2,E,9,1,E,9,-3,E,9,72,A,7,1012,E,9,80,E,9,2.1,E,9,4000,C,8,77777,E,9,0.7,E,8,0.053,F,8,0.24,F,8,0,1,D,9,0,C,8,273.3647164
1/4/1997,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,E,9,3,E,9,0,E,9,-3,E,9,78,A,7,1012,E,9,70,E,9,2.4,E,9,4000,C,8,77777,E,9,0.7,E,8,0.053,F,8,0.24,F,8,0,1,D,9,0,C,8,272.64403
1/4/1997,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,E,9,2,E,9,1,E,9,-3,E,9,72,A,7,1012,E,9,60,E,9,2.6,E,9,4000,C,8,77777,E,9,0.7,E,8,0.053,F,8,0.24,F,8,0,1,D,9,0,C,8,272.4825051
1/4/1997,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,E,9,1,E,9,1,E,9,-3,E,9,72,A,7,1012,E,9,60,E,9,3.1,E,9,4000,C,8,18947,E,9,0.7,E,8,0.053,F,8,0.24,F,8,0,1,D,9,0,C,8,272.5901851
1/4/1997,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,5,E,9,5,E,9,1,E,9,-3,E,9,72,A,7,1012,E,9,0,E,9,0,E,9,4000,C,8,0,E,9,0.7,E,8,0.053,F,8,0.24,F,8,0,1,D,9,0,C,8,272.6413567
1/4/1997,8:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,6,E,9,6,E,9,1,E,9,-2,E,9,79,A,7,1012,E,9,60,E,9,4.1,E,9,4000,C,8,12841,E,9,0.7,E,8,0.053,F,8,0.24,F,8,0,1,D,9,0,C,8,272.6657913
