724336,SOUTHERN ILLINOIS,IL,-6,37.767,-89.25,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2003,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,2,A,7,1,A,7,93,A,7,994,A,7,10,A,7,4.1,A,7,11300,B,7,450,A,7,2.6,E,8,0.075,F,8,0.17,F,8,3,1,D,9,61,C,8,275
1/1/2003,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,2,A,7,1,A,7,93,A,7,994,A,7,20,A,7,4.6,A,7,16100,B,7,450,A,7,2.5,E,8,0.075,F,8,0.17,F,8,5,1,D,9,61,C,8,274.2592277
1/1/2003,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,3,A,7,1,A,7,87,A,7,993,A,7,20,A,7,4.1,A,7,16100,B,7,450,A,7,2.4,E,8,0.075,F,8,0.17,F,8,0,1,D,9,61,C,8,274.2795634
1/1/2003,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,3,A,7,0,A,7,81,A,7,993,A,7,360,A,7,3.6,A,7,16100,B,7,510,A,7,2.3,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,274.4793364
1/1/2003,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,3,A,7,0,A,7,81,A,7,993,A,7,10,A,7,4.1,A,7,16100,B,7,570,A,7,2.2,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,274.5729783
1/1/2003,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,2,A,7,1,A,7,93,A,7,993,A,7,360,A,7,3.1,A,7,16100,B,7,570,A,7,2.1,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,274.3049356
1/1/2003,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,3,A,7,1,A,7,87,A,7,994,A,7,350,A,7,5.1,A,7,16100,B,7,570,A,7,2,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,274.3016258
1/1/2003,8:00,67,1073,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,2,A,7,2,A,7,100,A,7,995,A,7,20,A,7,4.6,A,7,4800,B,7,120,A,7,1.9,E,8,0.075,F,8,0.17,F,8,0,1,D,9,10,C,8,274.1696743
1/1/2003,9:00,287,1415,42,2,9,0,2,21,42,2,9,49,2,9,0,2,21,49,2,9,164,2,25,10,E,9,10,E,9,2,A,7,1,A,7,93,A,7,995,A,7,30,A,7,4.1,A,7,11300,B,7,120,A,7,1.8,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,273.7659391
1/1/2003,10:00,476,1415,151,2,9,37,2,21,138,2,9,165,2,9,35,2,21,153,2,9,369,2,25,10,E,9,10,E,9,3,A,7,1,A,7,87,A,7,995,A,7,40,A,7,4.6,A,7,16100,B,7,210,A,7,1.8,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,273.565381
1/1/2003,11:00,610,1415,109,2,9,0,2,21,109,2,9,128,2,9,0,2,21,128,2,9,469,2,25,10,E,9,10,E,9,3,A,7,1,A,7,87,A,7,996,A,7,30,A,7,4.1,A,7,16100,B,7,510,A,7,1.8,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,273.5540836
1/1/2003,12:00,680,1415,147,2,9,0,2,21,147,2,9,170,2,9,0,2,21,170,2,9,624,2,25,10,E,9,10,E,9,4,A,7,1,A,7,81,A,7,995,A,7,40,A,7,5.1,A,7,16100,B,7,570,A,7,1.8,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,273.7755981
1/1/2003,13:00,680,1415,142,2,9,0,2,21,142,2,9,165,2,9,0,2,21,165,2,9,608,2,25,10,E,9,10,A,7,4,A,7,1,A,7,81,A,7,996,A,7,40,A,7,5.1,A,7,16100,B,7,570,A,7,1.8,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,274.0174136
1/1/2003,14:00,612,1415,120,2,9,0,2,21,120,2,9,140,2,9,0,2,21,140,2,9,507,2,25,10,E,9,10,A,7,4,A,7,0,A,7,75,A,7,995,A,7,10,A,7,4.6,A,7,16100,B,7,630,A,7,1.7,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,274.2066745
1/1/2003,15:00,479,1415,167,2,9,76,2,21,141,2,9,183,2,9,71,2,21,159,2,9,376,2,25,10,E,9,10,A,7,4,A,7,0,A,7,75,A,7,996,A,7,10,A,7,5.1,A,7,16100,B,7,750,A,7,1.7,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,274.7376863
1/1/2003,16:00,291,1415,160,2,9,365,2,21,84,2,9,162,2,9,276,2,21,105,2,9,158,2,25,10,E,9,10,A,7,4,A,7,0,A,7,75,A,7,997,A,7,10,A,7,3.6,A,7,16100,B,7,750,A,7,1.7,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,277.2808025
1/1/2003,17:00,71,1120,20,2,9,168,2,21,13,2,9,26,2,9,81,2,21,20,2,9,25,2,25,10,E,9,10,E,9,4,A,7,-1,A,7,69,A,7,997,A,7,20,A,7,3.1,A,7,16100,B,7,750,A,7,1.7,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,278.3256644
1/1/2003,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,3,A,7,-1,A,7,74,A,7,999,A,7,360,A,7,3.6,A,7,16100,B,7,750,A,7,1.7,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,276.8502585
1/1/2003,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,3,A,7,-1,A,7,74,A,7,998,A,7,30,A,7,3.6,A,7,16100,B,7,630,A,7,1.8,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,275.1487574
1/1/2003,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,2.8,B,8,-0.6,B,8,78,A,7,998,B,8,350,B,8,2.6,B,8,16100,C,8,660,B,8,1.8,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,274.8351466
1/1/2003,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,3,A,7,0,A,7,81,A,7,998,A,7,310,A,7,1.5,A,7,16100,B,7,690,A,7,1.9,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,274.7053514
1/1/2003,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,3,A,7,0,A,7,81,A,7,998,A,7,70,A,7,3.1,A,7,16100,B,7,750,A,7,1.9,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,274.680367
1/1/2003,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,3,A,7,1,A,7,87,A,7,998,A,7,60,A,7,4.1,A,7,16100,B,7,630,A,7,1.9,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,274.6684283
1/1/2003,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,3,A,7,0,A,7,81,A,7,998,A,7,40,A,7,2.1,A,7,16100,B,7,570,A,7,1.9,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,274.6627223
1/2/2003,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,2,A,7,1,A,7,93,A,7,998,A,7,30,A,7,3.1,A,7,6400,B,7,480,A,7,1.9,E,8,0.075,F,8,0.17,F,8,15,1,D,9,0,C,8,274.350505
1/2/2003,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1,A,7,0,A,7,93,A,7,998,A,7,360,A,7,3.1,A,7,4000,B,7,360,A,7,1.8,E,8,0.075,F,8,0.17,F,8,0,1,D,9,10,C,8,273.5742438
1/2/2003,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1,A,7,0,A,7,93,A,7,998,A,7,10,A,7,3.6,A,7,4800,B,7,90,A,7,1.7,E,8,0.075,F,8,0.17,F,8,6,1,D,9,10,C,8,273.1307883
1/2/2003,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,0,A,7,-1,A,7,92,A,7,997,A,7,20,A,7,3.6,A,7,4800,B,7,120,A,7,1.7,E,8,0.075,F,8,0.17,F,8,0,1,D,9,10,C,8,272.6900861
1/2/2003,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,0,A,7,-1,A,7,92,A,7,997,A,7,20,A,7,3.6,A,7,4800,B,7,150,A,7,1.6,E,8,0.075,F,8,0.17,F,8,0,1,D,9,10,C,8,272.200732
1/2/2003,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-0.6,B,8,-0.6,B,8,100,A,7,997,B,8,240,B,8,4.5,B,8,5957,C,8,120,A,7,1.5,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,271.7703174
1/2/2003,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-0.3,B,8,-0.6,B,8,98,A,7,998,B,8,280,B,8,5.6,B,8,7114,C,8,77777,A,7,1.5,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,271.5303308
1/2/2003,8:00,67,1073,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,B,8,10,B,8,-0.9,B,8,-0.9,B,8,100,A,7,998,B,8,150,B,8,5,B,8,8271,C,8,90,A,7,1.4,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,271.281691
1/2/2003,9:00,286,1415,33,2,9,0,2,21,33,2,9,39,2,9,0,2,21,39,2,9,134,2,25,10,B,8,10,B,8,-0.6,B,8,-0.8,B,8,98,A,7,998,B,8,200,B,8,5.1,B,8,9428,C,8,150,A,7,1.4,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,271.0218017
1/2/2003,10:00,476,1415,89,2,9,0,2,21,89,2,9,103,2,9,0,2,21,103,2,9,360,2,25,10,B,8,10,B,8,-0.2,B,8,-0.9,B,8,94,A,7,998,B,8,250,B,8,6,B,8,10585,C,8,120,A,7,1.4,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,270.8192972
1/2/2003,11:00,611,1415,70,2,9,0,2,21,70,2,9,85,2,9,0,2,21,85,2,9,323,2,25,10,B,8,10,B,8,-0.4,B,8,-1.9,B,8,88,A,7,998,B,8,290,B,8,6.3,B,8,11742,C,8,180,A,7,1.4,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,270.6900034
1/2/2003,12:00,681,1415,258,2,9,78,2,21,220,2,9,283,2,9,78,2,21,245,2,9,639,2,25,10,E,9,10,E,9,0,A,7,-2,A,7,85,A,7,998,A,7,340,A,7,6.7,A,7,12900,B,7,210,A,7,1.3,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,270.6051745
1/2/2003,13:00,683,1415,119,2,9,0,2,21,119,2,9,140,2,9,0,2,21,140,2,9,529,2,25,10,E,9,10,E,9,-1,A,7,-2,A,7,92,A,7,998,A,7,330,A,7,5.7,A,7,12900,B,7,270,A,7,1.3,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,270.2350703
1/2/2003,14:00,615,1415,74,2,9,0,2,21,74,2,9,89,2,9,0,2,21,89,2,9,339,2,25,10,E,9,10,E,9,-1,A,7,-2,A,7,92,A,7,998,A,7,340,A,7,6.2,A,7,4000,B,7,270,A,7,1.3,E,8,0.075,F,8,0.17,F,8,0,1,D,9,10,C,8,269.9900897
1/2/2003,15:00,482,1415,86,2,9,0,2,21,86,2,9,100,2,9,0,2,21,100,2,9,352,2,25,10,E,9,10,E,9,-1,A,7,-2,A,7,92,A,7,999,A,7,350,A,7,6.7,A,7,14500,B,7,330,A,7,1.2,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,269.9248718
1/2/2003,16:00,294,1415,80,2,9,28,2,21,74,2,9,87,2,9,23,2,21,83,2,9,187,2,25,10,E,9,10,E,9,-1,A,7,-2,A,7,92,A,7,1000,A,7,340,A,7,6.2,A,7,16100,B,7,390,A,7,1.2,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,270.0922295
1/2/2003,17:00,73,1144,21,2,9,119,2,21,15,2,9,25,2,9,50,2,21,22,2,9,26,2,25,10,E,9,10,E,9,-1,A,7,-3,A,7,85,A,7,1001,A,7,350,A,7,5.1,A,7,16100,B,7,450,A,7,1.2,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,271.0590806
1/2/2003,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-1,A,7,-3,A,7,85,A,7,1001,A,7,330,A,7,6.7,A,7,11300,B,7,510,A,7,1.2,E,8,0.075,F,8,0.17,F,8,0,1,D,9,71,C,8,271.5923508
1/2/2003,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-0.7,B,8,-2.8,B,8,84,A,7,1002,B,8,330,B,8,6.5,B,8,13700,C,8,540,B,8,1.2,E,8,0.075,F,8,0.17,F,8,0,1,D,9,71,C,8,271.9421157
1/2/2003,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1,A,7,-3,A,7,85,A,7,1003,A,7,330,A,7,6.2,A,7,16100,B,7,570,A,7,1.2,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,270.5646015
1/2/2003,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-1,B,8,-2.9,B,8,85,A,7,1002,B,8,330,B,8,5.4,B,8,16100,C,8,510,B,8,1.2,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,270.644737
1/2/2003,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1,A,7,-3,A,7,85,A,7,1002,A,7,330,A,7,4.6,A,7,16100,B,7,450,A,7,1.1,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,270.6830429
1/2/2003,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1,A,7,-3,A,7,85,A,7,1003,A,7,330,A,7,4.6,A,7,16100,B,7,570,A,7,1.1,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,270.7014555
1/2/2003,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1,A,7,-4,A,7,78,A,7,1003,A,7,320,A,7,5.1,A,7,16100,B,7,450,A,7,1.1,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,270.7103242
1/3/2003,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1,A,7,-4,A,7,78,A,7,1004,A,7,320,A,7,5.7,A,7,16100,B,7,510,A,7,1.1,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,270.7146001
1/3/2003,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1,A,7,-4,A,7,78,A,7,1004,A,7,320,A,7,5.7,A,7,12900,B,7,630,A,7,1.1,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,270.7166627
1/3/2003,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1,A,7,-4,A,7,78,A,7,1004,A,7,320,A,7,5.1,A,7,12900,B,7,480,A,7,1,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,270.7176579
1/3/2003,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2,A,7,-4,A,7,85,A,7,1005,A,7,330,A,7,5.1,A,7,12900,B,7,540,A,7,1,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,270.9809791
1/3/2003,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2,A,7,-4,A,7,85,A,7,1004,A,7,320,A,7,3.6,A,7,11300,B,7,510,A,7,1,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,270.6588774
1/3/2003,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2,A,7,-4,A,7,85,A,7,1006,A,7,320,A,7,5.7,A,7,14500,B,7,510,A,7,0.9,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,270.2009755
1/3/2003,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2,A,7,-4,A,7,85,A,7,1006,A,7,320,A,7,5.1,A,7,14500,B,7,930,A,7,0.9,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,269.9641274
1/3/2003,8:00,67,1073,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,-2,A,7,-4,A,7,85,A,7,1007,A,7,310,A,7,3.6,A,7,11300,B,7,930,A,7,0.9,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,269.8461468
1/3/2003,9:00,287,1415,133,2,9,250,2,21,82,2,9,139,2,9,189,2,21,101,2,9,160,2,25,10,E,9,10,E,9,-1,A,7,-4,A,7,78,A,7,1007,A,7,310,A,7,3.6,A,7,12900,B,7,930,A,7,0.8,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,270.4251608
1/3/2003,10:00,477,1415,267,2,9,393,2,21,134,2,9,274,2,9,359,2,21,153,2,9,260,2,25,10,E,9,10,E,9,-1,A,7,-4,A,7,78,A,7,1008,A,7,310,A,7,4.1,A,7,16100,B,7,990,A,7,0.8,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,271.0756111
1/3/2003,11:00,612,1415,243,2,9,85,2,21,206,2,9,266,2,9,84,2,21,230,2,9,570,2,25,10,E,9,10,E,9,-1,A,7,-6,A,7,66,A,7,1007,A,7,310,A,7,4.6,A,7,16100,B,7,810,A,7,0.8,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,270.7819318
1/3/2003,12:00,683,1415,233,2,9,54,2,21,207,2,9,256,2,9,54,2,21,230,2,9,611,2,25,10,E,9,10,E,9,-1,A,7,-6,A,7,66,A,7,1007,A,7,310,A,7,3.6,A,7,16100,B,7,810,A,7,0.8,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,270.0555781
1/3/2003,13:00,685,1415,457,2,9,550,2,21,189,2,9,475,2,9,547,2,21,209,2,9,400,2,25,10,E,9,10,E,9,-1,A,7,-6,A,7,66,A,7,1006,A,7,320,A,7,4.6,A,7,16100,B,7,810,A,7,0.8,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,272.5074997
1/3/2003,14:00,617,1415,428,2,9,771,2,21,91,2,9,452,2,9,748,2,21,124,2,9,187,2,25,8,E,9,8,E,9,1,A,7,-6,A,7,56,A,7,1006,A,7,310,A,7,3.6,A,7,16100,B,7,810,A,7,0.8,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,277.7217951
1/3/2003,15:00,485,1415,318,2,9,734,2,21,66,2,9,328,2,9,674,2,21,96,2,9,128,2,25,4,E,9,4,E,9,1,A,7,-5,A,7,61,A,7,1006,A,7,340,B,8,1.5,A,7,16100,B,7,77777,A,7,0.7,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,281.4315413
1/3/2003,16:00,297,1415,170,2,9,576,2,21,48,2,9,176,2,9,453,2,21,80,2,9,89,2,25,0,E,9,0,E,9,1,A,7,-5,A,7,61,A,7,1006,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.7,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,281.8705796
1/3/2003,17:00,76,1144,22,2,9,216,2,21,11,2,9,28,2,9,122,2,21,19,2,9,25,2,25,0,E,9,0,E,9,0,A,7,-4,A,7,72,A,7,1006,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.7,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,279.077592
1/3/2003,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-2,A,7,-3,A,7,92,A,7,1006,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.7,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,274.9061551
1/3/2003,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-2,A,7,-4,A,7,85,A,7,1006,A,7,0,A,7,0,A,7,14500,B,7,77777,A,7,0.7,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,272.1595832
1/3/2003,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-3,A,7,-4,A,7,92,A,7,1006,A,7,0,A,7,0,A,7,12900,B,7,77777,A,7,0.7,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,270.614912
1/3/2003,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-2.8,E,9,-3.8,E,9,92,A,7,1006,E,9,350,E,9,1.1,E,9,12860,C,8,21407,E,9,0.7,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,269.7243282
1/3/2003,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,-2.6,E,9,-3.6,E,9,92,A,7,1006,E,9,360,E,9,1.2,E,9,12821,C,8,20874,E,9,0.8,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,269.3958848
1/3/2003,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,-2.4,E,9,-3.6,E,9,90,A,7,1005,E,9,10,E,9,1.2,E,9,12782,C,8,20221,E,9,0.8,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,269.3294251
1/3/2003,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,-2.3,E,9,-4,E,9,87,A,7,1004,E,9,20,E,9,1.3,E,9,12743,C,8,19478,E,9,0.8,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,269.3666487
1/4/2003,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,-1.8,E,9,-3.5,E,9,87,A,7,1004,E,9,20,E,9,1.3,E,9,12704,C,8,18975,E,9,0.8,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,269.5665581
1/4/2003,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,-1.5,E,9,-3.4,E,9,85,A,7,1004,E,9,40,E,9,1.4,E,9,12665,C,8,18472,E,9,0.8,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,269.8558853
1/4/2003,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,-1.5,E,9,-3.6,E,9,84,A,7,1004,E,9,40,E,9,1.4,E,9,12626,C,8,17910,E,9,0.8,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,270.049461
1/4/2003,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,-1.4,E,9,-3.7,E,9,82,A,7,1004,E,9,50,E,9,1.5,E,9,12587,C,8,17407,E,9,0.9,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,270.1737682
1/4/2003,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,-1.3,E,9,-3.7,E,9,82,A,7,1003,E,9,50,E,9,1.5,E,9,12548,C,8,16874,E,9,0.9,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,270.284554
1/4/2003,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,-1.2,E,9,-3.6,E,9,82,A,7,1003,E,9,70,E,9,1.6,E,9,12509,C,8,16401,E,9,1,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,270.3889265
1/4/2003,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,-1.1,E,9,-3.3,E,9,83,A,7,1003,E,9,70,E,9,1.6,E,9,12470,C,8,15808,E,9,1.1,E,8,0.075,F,8,0.17,F,8,0,1,D,9,0,C,8,270.4902466
