724113,VIRGINIA TECH ARPT,VA,-5,37.217,-80.417,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1996,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,3.3,A,7,2.2,A,7,92,A,7,938,E,9,0,A,7,0,A,7,400,B,7,30,A,7,1.8,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,276.3
1/1/1996,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,3.3,A,7,2.2,A,7,92,A,7,938,E,9,0,A,7,0,A,7,400,B,7,30,A,7,1.8,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,275.6270394
1/1/1996,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,3.8,A,7,2.7,A,7,93,A,7,938,E,9,0,A,7,0,A,7,400,B,7,30,A,7,1.8,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,275.4392889
1/1/1996,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,3.3,A,7,2.7,A,7,96,A,7,938,E,9,0,A,7,0,A,7,400,B,7,30,A,7,1.8,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,275.283102
1/1/1996,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,3.8,A,7,2.7,A,7,93,A,7,938,E,9,0,A,7,0,A,7,400,B,7,30,A,7,1.9,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,275.273172
1/1/1996,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,3.8,A,7,2.7,A,7,93,A,7,938,E,9,0,A,7,0,A,7,400,B,7,30,A,7,1.9,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,275.3636476
1/1/1996,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,3.3,A,7,2.2,A,7,92,A,7,938,E,9,0,A,7,0,A,7,0,B,7,30,A,7,1.9,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,275.2462344
1/1/1996,8:00,17,531,1,1,24,0,1,27,1,1,24,0,1,24,0,1,27,0,1,24,0,1,43,10,E,9,10,A,7,4.4,A,7,3.3,A,7,93,A,7,938,E,9,0,A,7,0,A,7,0,B,7,30,A,7,1.9,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,275.4522318
1/1/1996,9:00,204,1415,22,1,24,0,1,27,22,1,24,26,1,24,0,1,27,26,1,24,87,1,43,10,E,9,10,A,7,4.4,A,7,3.8,A,7,96,A,7,938,E,9,0,A,7,0,A,7,0,B,7,30,A,7,1.9,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,275.6834349
1/1/1996,10:00,413,1415,46,1,24,0,1,27,46,1,24,55,1,24,0,1,27,55,1,24,197,1,43,10,E,9,10,A,7,4.4,A,7,3.8,A,7,96,A,7,938,E,9,80,A,7,2.5,A,7,400,B,7,60,A,7,1.9,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,275.662078
1/1/1996,11:00,573,1415,72,1,24,0,1,27,72,1,24,86,1,24,0,1,27,86,1,24,323,1,43,10,E,9,10,A,7,4.4,A,7,3.8,A,7,96,A,7,938,E,9,120,A,7,2.5,A,7,0,B,7,30,A,7,1.9,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,275.5121159
1/1/1996,12:00,670,1415,89,1,24,0,1,27,89,1,24,107,1,24,0,1,27,107,1,24,411,1,43,10,E,9,10,A,7,4.4,A,7,3.8,A,7,96,A,7,938,E,9,100,A,7,2,A,7,400,B,7,30,A,7,1.9,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,275.3318915
1/1/1996,13:00,700,1415,95,1,24,0,1,27,95,1,24,114,1,24,0,1,27,114,1,24,442,1,43,10,E,9,10,A,7,4.4,A,7,3.8,A,7,96,A,7,938,E,9,100,A,7,2.5,A,7,0,B,7,30,A,7,1.9,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,275.1957448
1/1/1996,14:00,659,1415,87,1,24,0,1,27,87,1,24,105,1,24,0,1,27,105,1,24,401,1,43,10,E,9,10,A,7,4.4,A,7,3.3,A,7,93,A,7,938,E,9,110,A,7,2.5,A,7,3200,B,7,90,A,7,1.9,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,275.1508186
1/1/1996,15:00,551,1415,68,1,24,0,1,27,68,1,24,82,1,24,0,1,27,82,1,24,304,1,43,10,E,9,10,A,7,4.4,A,7,3.3,A,7,93,A,7,938,E,9,110,A,7,2,A,7,1200,B,7,60,A,7,2,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,275.2128579
1/1/1996,16:00,382,1415,41,1,24,0,1,27,41,1,24,49,1,24,0,1,27,49,1,24,175,1,43,10,E,9,10,A,7,3.8,A,7,3.3,A,7,97,A,7,938,E,9,70,A,7,1.5,A,7,0,B,7,30,A,7,2,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,275.1687877
1/1/1996,17:00,167,1415,19,1,24,0,1,27,19,1,24,22,1,24,0,1,27,22,1,24,73,1,43,10,E,9,10,A,7,3.8,A,7,2.7,A,7,93,A,7,938,E,9,100,A,7,2,A,7,400,B,7,30,A,7,2,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,275.1629147
1/1/1996,18:00,5,318,0,1,24,0,1,27,0,1,24,0,1,24,0,1,27,0,1,24,0,1,43,10,E,9,10,A,7,3.8,A,7,2.7,A,7,93,A,7,938,E,9,90,A,7,2.5,A,7,400,B,7,30,A,7,2,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,275.2724625
1/1/1996,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,3.8,A,7,2.7,A,7,93,A,7,938,E,9,90,A,7,1.5,A,7,400,B,7,30,A,7,2,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,275.3633156
1/1/1996,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,3.8,A,7,2.7,A,7,93,A,7,938,E,9,90,A,7,2,A,7,400,B,7,30,A,7,2,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,275.4062428
1/1/1996,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,3.3,A,7,2.7,A,7,96,A,7,938,E,9,0,A,7,0,A,7,0,B,7,30,A,7,2,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,275.2669867
1/1/1996,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,3.3,A,7,2.2,A,7,92,A,7,938,E,9,110,A,7,1.5,A,7,400,B,7,30,A,7,2,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,275.1045633
1/1/1996,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,3.3,A,7,2.7,A,7,96,A,7,938,E,9,90,A,7,2,A,7,1600,B,7,60,A,7,2,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,275.0256158
1/1/1996,24:00:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,3.3,A,7,2.2,A,7,92,A,7,938,E,9,80,A,7,1.5,A,7,1200,B,7,60,A,7,2,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,274.9876496
1/2/1996,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,2.7,A,7,2.2,A,7,97,A,7,938,E,9,60,A,7,1.5,A,7,2800,B,7,60,A,7,2,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,274.7802473
1/2/1996,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,2.7,A,7,2.2,A,7,97,A,7,938,E,9,100,A,7,2,A,7,2000,B,7,60,A,7,2,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,274.5652845
1/2/1996,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,2.7,A,7,1.6,A,7,92,A,7,938,E,9,60,A,7,2,A,7,1600,B,7,60,A,7,2,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,274.4599313
1/2/1996,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,2.7,A,7,1.6,A,7,92,A,7,938,E,9,80,A,7,3,A,7,3200,B,7,60,A,7,2,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,274.4090317
1/2/1996,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,2.7,A,7,1.6,A,7,92,A,7,938,E,9,90,A,7,2,A,7,1600,B,7,60,A,7,2,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,274.3845858
1/2/1996,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,2.2,A,7,1.6,A,7,96,A,7,938,E,9,90,A,7,2.5,A,7,1200,B,7,90,A,7,2,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,274.2146009
1/2/1996,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,2.2,A,7,1.6,A,7,96,A,7,938,E,9,90,A,7,1.5,A,7,1600,B,7,60,A,7,2,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,274.0370802
1/2/1996,8:00,16,531,1,1,24,0,1,27,1,1,24,0,1,24,0,1,27,0,1,24,0,1,43,10,E,9,10,A,7,2.7,A,7,1.6,A,7,92,A,7,938,E,9,0,A,7,0,A,7,3200,B,7,60,A,7,2,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,274.1090287
1/2/1996,9:00,204,1415,23,1,24,0,1,27,23,1,24,27,1,24,0,1,27,27,1,24,90,1,43,10,E,9,10,A,7,2.7,A,7,1.6,A,7,92,A,7,938,E,9,280,A,7,1.5,A,7,4000,B,7,210,A,7,2,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,274.158589
1/2/1996,10:00,414,1415,106,1,24,50,1,27,92,1,24,117,1,24,45,1,27,104,1,24,252,1,43,10,E,9,9,A,7,3.8,A,7,2.7,A,7,93,A,7,938,E,9,120,A,7,2.5,A,7,16100,B,7,90,A,7,1.9,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,274.3782097
1/2/1996,11:00,573,1415,109,1,24,0,1,27,109,1,24,127,1,24,0,1,27,127,1,24,457,1,43,10,E,9,10,A,7,3.8,A,7,2.7,A,7,93,A,7,938,E,9,130,A,7,2.5,A,7,16100,B,7,630,A,7,1.9,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,274.4663922
1/2/1996,12:00,672,1415,93,1,24,0,1,27,93,1,24,112,1,24,0,1,27,112,1,24,427,1,43,10,E,9,10,A,7,4.4,A,7,3.3,A,7,93,A,7,938,E,9,110,A,7,2.5,A,7,16100,B,7,150,A,7,1.8,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,274.661226
1/2/1996,13:00,702,1415,99,1,24,0,1,27,99,1,24,119,1,24,0,1,27,119,1,24,458,1,43,10,E,9,10,A,7,5,A,7,3.3,A,7,89,A,7,938,E,9,100,A,7,2,A,7,16100,B,7,120,A,7,1.8,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,275.0919541
1/2/1996,14:00,661,1415,91,1,24,0,1,27,91,1,24,109,1,24,0,1,27,109,1,24,417,1,43,10,E,9,10,A,7,4.4,A,7,3.3,A,7,93,A,7,938,E,9,70,A,7,2.5,A,7,16100,B,7,90,A,7,1.8,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,275.2034796
1/2/1996,15:00,554,1415,73,1,24,0,1,27,73,1,24,87,1,24,0,1,27,87,1,24,324,1,43,10,E,9,10,A,7,3.8,A,7,2.7,A,7,93,A,7,938,E,9,110,A,7,2.5,A,7,1200,B,7,60,A,7,1.7,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,275.006007
1/2/1996,16:00,386,1415,45,1,24,0,1,27,45,1,24,54,1,24,0,1,27,54,1,24,190,1,43,10,E,9,10,A,7,3.3,A,7,2.2,A,7,92,A,7,938,E,9,110,A,7,2.5,A,7,0,B,7,30,A,7,1.7,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,274.764858
1/2/1996,17:00,170,1415,17,1,24,0,1,27,17,1,24,20,1,24,0,1,27,20,1,24,67,1,43,10,E,9,10,A,7,3.3,A,7,2.2,A,7,92,A,7,938,E,9,120,A,7,5.1,A,7,0,C,8,30,A,7,1.6,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,274.7106554
1/2/1996,18:00,6,318,0,1,24,0,1,27,0,1,24,0,1,24,0,1,27,0,1,24,0,1,43,10,E,9,10,A,7,3.3,A,7,2.2,A,7,92,A,7,938,E,9,130,A,7,4.6,A,7,0,B,7,30,A,7,1.6,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,274.8029078
1/2/1996,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,3.3,A,7,2.2,A,7,92,A,7,938,E,9,0,A,7,0,A,7,400,B,7,30,A,7,1.6,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,274.8816734
1/2/1996,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,2.7,A,7,2.2,A,7,97,A,7,938,E,9,130,A,7,5.1,A,7,400,B,7,30,A,7,1.5,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,274.7280213
1/2/1996,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,3.3,A,7,2.2,A,7,92,A,7,938,E,9,70,A,7,2.5,A,7,3200,B,7,30,A,7,1.5,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,274.7322147
1/2/1996,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,2.7,A,7,2.2,A,7,97,A,7,938,E,9,120,A,7,3.6,A,7,800,B,7,60,A,7,1.4,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,274.6551246
1/2/1996,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,2.7,A,7,2.2,A,7,97,A,7,938,E,9,80,A,7,1.5,A,7,400,B,7,30,A,7,1.4,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,274.5038058
1/2/1996,24:00:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,2.7,A,7,1.6,A,7,92,A,7,938,E,9,150,A,7,1.5,A,7,0,B,7,30,A,7,1.4,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,274.4301787
1/3/1996,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,2.2,A,7,1.6,A,7,96,A,7,938,E,9,130,A,7,2,A,7,0,B,7,30,A,7,1.3,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,274.2370885
1/3/1996,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,2.2,A,7,1.6,A,7,96,A,7,938,E,9,0,A,7,0,A,7,0,B,7,30,A,7,1.3,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,274.0481461
1/3/1996,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,2.2,A,7,1.6,A,7,96,A,7,938,E,9,0,A,7,0,A,7,400,B,7,30,A,7,1.2,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,273.9557221
1/3/1996,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,2.2,A,7,1.6,A,7,96,A,7,938,E,9,200,A,7,1.5,A,7,400,B,7,30,A,7,1.2,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,273.9110691
1/3/1996,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,2.2,A,7,1.1,A,7,92,A,7,938,E,9,300,A,7,1.5,A,7,400,B,7,30,A,7,1.1,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,273.8896076
1/3/1996,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,2.2,A,7,1.6,A,7,96,A,7,938,E,9,260,A,7,5.1,A,7,16100,B,7,630,B,8,1.1,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,273.8793175
1/3/1996,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,9,A,7,2.7,A,7,-1.2,A,7,75,A,7,938,E,9,260,A,7,5.6,A,7,16100,B,7,1230,A,7,1.1,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,274.0383781
1/3/1996,8:00,16,531,3,1,24,19,1,27,2,1,24,0,1,24,0,1,27,0,1,24,0,1,43,2,E,9,2,A,7,3.8,A,7,-1.2,A,7,69,A,7,938,E,9,250,A,7,6.1,A,7,16100,B,7,77777,A,7,1,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,274.613572
1/3/1996,9:00,204,1415,44,1,24,49,1,27,37,1,24,49,1,24,33,1,27,44,1,24,78,1,43,9,E,9,9,A,7,4.4,A,7,-0.6,A,7,70,A,7,938,E,9,270,A,7,6.1,A,7,16100,B,7,1320,A,7,1,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,275.2064235
1/3/1996,10:00,414,1415,69,1,24,0,1,27,69,1,24,80,1,24,0,1,27,80,1,24,278,1,43,10,E,9,10,A,7,2.7,A,7,-1.7,A,7,72,A,7,938,E,9,290,A,7,8.2,A,7,16100,B,7,630,A,7,1,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,275.9821767
1/3/1996,11:00,574,1415,107,1,24,0,1,27,107,1,24,125,1,24,0,1,27,125,1,24,451,1,43,10,E,9,10,A,7,2.2,A,7,-2.3,A,7,71,A,7,938,E,9,290,A,7,7.7,A,7,16100,B,7,1020,A,7,1,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,275.3409513
1/3/1996,12:00,673,1415,132,1,24,0,1,27,132,1,24,154,1,24,0,1,27,154,1,24,571,1,43,10,E,9,10,A,7,0.5,A,7,-3.9,A,7,70,A,7,938,E,9,300,A,7,7.7,A,7,16100,B,7,690,A,7,1,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,272.4981308
1/3/1996,13:00,704,1415,140,1,24,0,1,27,140,1,24,164,1,24,0,1,27,164,1,24,611,1,43,10,E,9,10,A,7,0.5,A,7,-3.9,A,7,70,A,7,938,E,9,300,A,7,7.2,A,7,16100,B,7,690,A,7,1,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,271.5788073
1/3/1996,14:00,664,1415,281,1,24,84,1,27,241,1,24,307,1,24,84,1,27,268,1,24,672,1,43,9,E,9,9,A,7,-1.7,A,7,-6.2,A,7,68,A,7,938,E,9,300,A,7,8.2,A,7,16100,B,7,630,A,7,0.9,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,270.7987426
1/3/1996,15:00,556,1415,238,1,24,87,1,27,204,1,24,261,1,24,85,1,27,227,1,24,534,1,43,9,E,9,9,A,7,-2.3,A,7,-7.8,A,7,62,A,7,938,E,9,300,A,7,7.7,A,7,16100,B,7,690,A,7,0.9,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,267.2672475
1/3/1996,16:00,389,1415,64,1,24,0,1,27,64,1,24,74,1,24,0,1,27,74,1,24,256,1,43,10,E,9,10,A,7,-3.4,A,7,-8.4,A,7,65,A,7,938,E,9,300,A,7,7.2,A,7,16100,B,7,690,A,7,0.9,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,267.8197948
1/3/1996,17:00,174,1415,26,1,24,0,1,27,26,1,24,30,1,24,0,1,27,30,1,24,97,1,43,10,E,9,10,A,7,-3.9,A,7,-9.5,A,7,62,A,7,938,E,9,310,A,7,7.7,A,7,16100,B,7,690,A,7,0.9,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,267.7144849
1/3/1996,18:00,7,342,0,1,24,0,1,27,0,1,24,0,1,24,0,1,27,0,1,24,0,1,43,10,E,9,10,A,7,-4.5,A,7,-9.5,A,7,65,A,7,938,E,9,300,A,7,8.2,A,7,16100,B,7,690,A,7,0.9,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,269.27137
1/3/1996,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,-5.6,A,7,-11.2,A,7,61,A,7,938,E,9,300,A,7,7.2,A,7,16100,B,7,690,A,7,0.8,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,267.2891474
1/3/1996,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,-5.6,A,7,-11.2,A,7,61,A,7,938,E,9,310,A,7,7.2,A,7,16100,B,7,690,A,7,0.8,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,266.6986402
1/3/1996,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,-6.2,A,7,-11.2,A,7,64,A,7,938,E,9,300,A,7,7.7,A,7,16100,B,7,690,A,7,0.8,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,266.7562792
1/3/1996,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,9,A,7,-6.2,A,7,-11.7,A,7,62,A,7,938,E,9,310,A,7,7.2,A,7,16100,B,7,750,A,7,0.8,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,266.0754209
1/3/1996,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,-6.7,A,7,-11.7,A,7,64,A,7,938,E,9,300,A,7,6.6,A,7,16100,B,7,750,A,7,0.8,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,266.3625209
1/3/1996,24:00:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,9,A,7,-6.7,A,7,-11.7,A,7,64,A,7,938,E,9,300,A,7,7.2,A,7,16100,B,7,690,A,7,0.7,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,267.890068
1/4/1996,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,9,A,7,-6.7,A,7,-12.3,A,7,61,A,7,938,E,9,300,A,7,8.2,A,7,16100,B,7,750,A,7,0.7,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,265.1723689
1/4/1996,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,9,A,7,-7.3,A,7,-12.3,A,7,64,A,7,938,E,9,300,A,7,6.1,A,7,16100,B,7,690,A,7,0.7,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,264.9542738
1/4/1996,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,-7.3,A,7,-12.3,A,7,64,A,7,938,E,9,300,A,7,5.1,A,7,16100,B,7,630,A,7,0.7,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,264.7330502
1/4/1996,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,9,A,7,-7.3,A,7,-12.3,A,7,64,A,7,938,E,9,300,A,7,4.6,A,7,16100,B,7,510,A,7,0.7,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,264.6210704
1/4/1996,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,9,A,7,-7.8,A,7,-12.8,A,7,64,A,7,938,E,9,280,A,7,6.1,A,7,16100,B,7,720,A,7,0.7,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,264.4133181
1/4/1996,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,9,A,7,-7.8,A,7,-12.3,A,7,67,A,7,938,E,9,290,A,7,3.6,A,7,16100,B,7,660,A,7,0.6,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,264.2159176
1/4/1996,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,9,A,7,-7.3,A,7,-12.3,A,7,64,A,7,938,E,9,270,A,7,2.5,A,7,16100,B,7,660,A,7,0.6,E,8,0.063,F,8,0.17,F,8,0,1,D,9,0,C,8,264.2737005
